setid,"Temperature, K",Mole fraction of diethylammonium hydrogen sulfate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
GZsPO,298.15,0,101,1095,Govinda et al. (2011b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgwZl,CC[NH2+]CC.O=S(=O)([O-])O,diethylammonium hydrogen sulfate,,,
GZsPO,298.15,0.0569,101,1090,Govinda et al. (2011b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgwZl,CC[NH2+]CC.O=S(=O)([O-])O,diethylammonium hydrogen sulfate,,,
GZsPO,298.15,0.1196,101,1084,Govinda et al. (2011b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgwZl,CC[NH2+]CC.O=S(=O)([O-])O,diethylammonium hydrogen sulfate,,,
GZsPO,298.15,0.189,101,1078,Govinda et al. (2011b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgwZl,CC[NH2+]CC.O=S(=O)([O-])O,diethylammonium hydrogen sulfate,,,
GZsPO,298.15,0.2461,101,1073,Govinda et al. (2011b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgwZl,CC[NH2+]CC.O=S(=O)([O-])O,diethylammonium hydrogen sulfate,,,
GZsPO,298.15,0.308,101,1068,Govinda et al. (2011b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgwZl,CC[NH2+]CC.O=S(=O)([O-])O,diethylammonium hydrogen sulfate,,,
GZsPO,298.15,0.3756,101,1063,Govinda et al. (2011b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgwZl,CC[NH2+]CC.O=S(=O)([O-])O,diethylammonium hydrogen sulfate,,,
GZsPO,298.15,0.4494,101,1058,Govinda et al. (2011b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgwZl,CC[NH2+]CC.O=S(=O)([O-])O,diethylammonium hydrogen sulfate,,,
GZsPO,298.15,0.5306,101,1053,Govinda et al. (2011b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgwZl,CC[NH2+]CC.O=S(=O)([O-])O,diethylammonium hydrogen sulfate,,,
GZsPO,298.15,0.6201,101,1048,Govinda et al. (2011b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgwZl,CC[NH2+]CC.O=S(=O)([O-])O,diethylammonium hydrogen sulfate,,,
GZsPO,298.15,0.6852,101,1044,Govinda et al. (2011b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgwZl,CC[NH2+]CC.O=S(=O)([O-])O,diethylammonium hydrogen sulfate,,,
GZsPO,298.15,0.7552,101,1040,Govinda et al. (2011b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgwZl,CC[NH2+]CC.O=S(=O)([O-])O,diethylammonium hydrogen sulfate,,,
GZsPO,298.15,0.8306,101,1036,Govinda et al. (2011b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgwZl,CC[NH2+]CC.O=S(=O)([O-])O,diethylammonium hydrogen sulfate,,,
GZsPO,298.15,0.912,101,1032,Govinda et al. (2011b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgwZl,CC[NH2+]CC.O=S(=O)([O-])O,diethylammonium hydrogen sulfate,,,
GZsPO,298.15,1,101,1028,Govinda et al. (2011b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgwZl,CC[NH2+]CC.O=S(=O)([O-])O,diethylammonium hydrogen sulfate,,,
