setid,Mole fraction of 1-allyl-3-methylimidazolium dicyanamide,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
nmnlb,0,288.15,100,796,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AAGIBL,CO,methanol,,,
nmnlb,0,293.15,100,791.4,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AAGIBL,CO,methanol,,,
nmnlb,0,298.15,100,786.6,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AAGIBL,CO,methanol,,,
nmnlb,0,303.15,100,781.9,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AAGIBL,CO,methanol,,,
nmnlb,0,308.15,100,777.2,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AAGIBL,CO,methanol,,,
nmnlb,0,313.15,100,772.4,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AAGIBL,CO,methanol,,,
nmnlb,0,318.15,100,767.6,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AAGIBL,CO,methanol,,,
nmnlb,0.1,288.15,100,948.4,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AAGIBL,CO,methanol,,,
nmnlb,0.1,293.15,100,944.2,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AAGIBL,CO,methanol,,,
nmnlb,0.1,298.15,100,940,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AAGIBL,CO,methanol,,,
nmnlb,0.1,303.15,100,935.8,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AAGIBL,CO,methanol,,,
nmnlb,0.1,308.15,100,931.5,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AAGIBL,CO,methanol,,,
nmnlb,0.1,313.15,100,927.3,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AAGIBL,CO,methanol,,,
nmnlb,0.1,318.15,100,923.1,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AAGIBL,CO,methanol,,,
nmnlb,0.2,288.15,100,1040.8,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AAGIBL,CO,methanol,,,
nmnlb,0.2,293.15,100,1036.8,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AAGIBL,CO,methanol,,,
