setid,Weight fraction of 1-butyl-3-methylimidazolium nitrate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
yWhkE,0.1,313,100,1005.94,Zhang et al. (2014i),Density,Liquid,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,AADYJk,O,water,,,
yWhkE,0.2,313,100,1019.86,Zhang et al. (2014i),Density,Liquid,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,AADYJk,O,water,,,
yWhkE,0.3,313,100,1035.24,Zhang et al. (2014i),Density,Liquid,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,AADYJk,O,water,,,
yWhkE,0.4,313,100,1050.31,Zhang et al. (2014i),Density,Liquid,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,AADYJk,O,water,,,
yWhkE,0.5,313,100,1066.97,Zhang et al. (2014i),Density,Liquid,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,AADYJk,O,water,,,
yWhkE,0.6,313,100,1083.21,Zhang et al. (2014i),Density,Liquid,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,AADYJk,O,water,,,
yWhkE,0.7,313,100,1100.88,Zhang et al. (2014i),Density,Liquid,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,AADYJk,O,water,,,
yWhkE,0.8,313,100,1118.24,Zhang et al. (2014i),Density,Liquid,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,AADYJk,O,water,,,
yWhkE,0.9,303,100,1134.68,Zhang et al. (2014i),Density,Liquid,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,AADYJk,O,water,,,
yWhkE,0.9,308,100,1131.35,Zhang et al. (2014i),Density,Liquid,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,AADYJk,O,water,,,
yWhkE,0.9,313,100,1128.03,Zhang et al. (2014i),Density,Liquid,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,AADYJk,O,water,,,
yWhkE,0.9,318,100,1124.72,Zhang et al. (2014i),Density,Liquid,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,AADYJk,O,water,,,
yWhkE,0.9,323,100,1121.41,Zhang et al. (2014i),Density,Liquid,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,AADYJk,O,water,,,
yWhkE,0.95,303,100,1147.86,Zhang et al. (2014i),Density,Liquid,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,AADYJk,O,water,,,
yWhkE,0.95,308,100,1144.62,Zhang et al. (2014i),Density,Liquid,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,AADYJk,O,water,,,
yWhkE,0.95,313,100,1141.38,Zhang et al. (2014i),Density,Liquid,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,AADYJk,O,water,,,
yWhkE,0.95,318,100,1138.16,Zhang et al. (2014i),Density,Liquid,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,AADYJk,O,water,,,
yWhkE,0.95,323,100,1134.95,Zhang et al. (2014i),Density,Liquid,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,AADYJk,O,water,,,
