setid,"Temperature, K","Solvent: MolaLity of 1-methylimidazolium chloride, mol/kg","MolaLity of L-glutamic acid, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
FgKcl,288.15,0,0.0207,100,1000.4,Gaba et al. (2019),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
FgKcl,288.15,0,0.04,100,1001.5,Gaba et al. (2019),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
FgKcl,288.15,0,0.0618,100,1002.7,Gaba et al. (2019),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
FgKcl,288.15,0,0.0802,100,1003.7,Gaba et al. (2019),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
FgKcl,288.15,0,0.1001,100,1004.8,Gaba et al. (2019),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
FgKcl,288.15,0.01,0,100,999.5,Gaba et al. (2019),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
FgKcl,288.15,0.01,0.0199,100,1000.6,Gaba et al. (2019),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
FgKcl,288.15,0.01,0.0395,100,1001.7,Gaba et al. (2019),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
FgKcl,288.15,0.01,0.0595,100,1002.8,Gaba et al. (2019),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
FgKcl,288.15,0.01,0.08,100,1003.9,Gaba et al. (2019),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
FgKcl,288.15,0.01,0.098,100,1004.8,Gaba et al. (2019),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
FgKcl,288.15,0.03,0,100,1000.1,Gaba et al. (2019),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
FgKcl,288.15,0.03,0.0199,100,1001.2,Gaba et al. (2019),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
FgKcl,288.15,0.03,0.0403,100,1002.4,Gaba et al. (2019),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
FgKcl,288.15,0.03,0.06,100,1003.5,Gaba et al. (2019),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
FgKcl,288.15,0.03,0.0793,100,1004.6,Gaba et al. (2019),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
FgKcl,288.15,0.03,0.0994,100,1005.7,Gaba et al. (2019),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
FgKcl,298.15,0,0.0207,100,998.3,Gaba et al. (2019),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
FgKcl,298.15,0,0.04,100,999.3,Gaba et al. (2019),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
FgKcl,298.15,0,0.0618,100,1000.5,Gaba et al. (2019),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
FgKcl,298.15,0,0.0802,100,1001.6,Gaba et al. (2019),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
FgKcl,298.15,0,0.1001,100,1002.7,Gaba et al. (2019),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
FgKcl,298.15,0.01,0,100,997.5,Gaba et al. (2019),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
FgKcl,298.15,0.01,0.0199,100,998.6,Gaba et al. (2019),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
FgKcl,298.15,0.01,0.0395,100,999.6,Gaba et al. (2019),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
FgKcl,298.15,0.01,0.0595,100,1000.7,Gaba et al. (2019),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
FgKcl,298.15,0.01,0.08,100,1001.8,Gaba et al. (2019),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
FgKcl,298.15,0.01,0.098,100,1002.8,Gaba et al. (2019),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
FgKcl,298.15,0.03,0,100,998,Gaba et al. (2019),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
FgKcl,298.15,0.03,0.0199,100,999.1,Gaba et al. (2019),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
FgKcl,298.15,0.03,0.0403,100,1000.3,Gaba et al. (2019),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
FgKcl,298.15,0.03,0.06,100,1001.4,Gaba et al. (2019),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
FgKcl,298.15,0.03,0.0793,100,1002.4,Gaba et al. (2019),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
FgKcl,298.15,0.03,0.0994,100,1003.5,Gaba et al. (2019),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
FgKcl,308.15,0,0.0207,100,995.2,Gaba et al. (2019),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
FgKcl,308.15,0,0.04,100,996.3,Gaba et al. (2019),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
FgKcl,308.15,0,0.0618,100,997.5,Gaba et al. (2019),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
FgKcl,308.15,0,0.0802,100,998.5,Gaba et al. (2019),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
FgKcl,308.15,0,0.1001,100,999.6,Gaba et al. (2019),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
FgKcl,308.15,0.01,0,100,994.5,Gaba et al. (2019),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
FgKcl,308.15,0.01,0.0199,100,995.5,Gaba et al. (2019),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
FgKcl,308.15,0.01,0.0395,100,996.6,Gaba et al. (2019),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
FgKcl,308.15,0.01,0.0595,100,997.7,Gaba et al. (2019),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
FgKcl,308.15,0.01,0.08,100,998.8,Gaba et al. (2019),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
FgKcl,308.15,0.01,0.098,100,999.7,Gaba et al. (2019),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
