setid,"Temperature, K","MolaLity of lithium trifluoromethanesulfonate, mol/kg","Pressure, kPa","Specific density<SUP>*</SUP>, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
bNQdw,293.15,0.04996,100,4.072,Hu et al. (2016),Density,Liquid,AADYJk,O,water,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,,,
bNQdw,293.15,0.06998,100,5.691,Hu et al. (2016),Density,Liquid,AADYJk,O,water,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,,,
bNQdw,293.15,0.1002,100,8.127,Hu et al. (2016),Density,Liquid,AADYJk,O,water,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,,,
bNQdw,293.15,0.2,100,16.076,Hu et al. (2016),Density,Liquid,AADYJk,O,water,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,,,
bNQdw,293.15,0.3997,100,31.641,Hu et al. (2016),Density,Liquid,AADYJk,O,water,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,,,
bNQdw,293.15,0.6998,100,54.196,Hu et al. (2016),Density,Liquid,AADYJk,O,water,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,,,
bNQdw,293.15,0.9883,100,74.988,Hu et al. (2016),Density,Liquid,AADYJk,O,water,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,,,
bNQdw,293.15,1.4996,100,109.79,Hu et al. (2016),Density,Liquid,AADYJk,O,water,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,,,
bNQdw,293.15,1.9995,100,141.56,Hu et al. (2016),Density,Liquid,AADYJk,O,water,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,,,
bNQdw,293.15,2.9985,100,198.98,Hu et al. (2016),Density,Liquid,AADYJk,O,water,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,,,
bNQdw,293.15,3.9912,100,249.09,Hu et al. (2016),Density,Liquid,AADYJk,O,water,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,,,
bNQdw,293.15,5.8794,100,328.65,Hu et al. (2016),Density,Liquid,AADYJk,O,water,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,,,
bNQdw,293.15,7.4931,100,383.91,Hu et al. (2016),Density,Liquid,AADYJk,O,water,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,,,
bNQdw,293.15,9.6345,100,443.3,Hu et al. (2016),Density,Liquid,AADYJk,O,water,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,,,
bNQdw,298.15,0.04996,100,4.048,Hu et al. (2016),Density,Liquid,AADYJk,O,water,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,,,
bNQdw,298.15,0.06998,100,5.657,Hu et al. (2016),Density,Liquid,AADYJk,O,water,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,,,
bNQdw,298.15,0.1002,100,8.079,Hu et al. (2016),Density,Liquid,AADYJk,O,water,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,,,
bNQdw,298.15,0.2,100,15.975,Hu et al. (2016),Density,Liquid,AADYJk,O,water,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,,,
bNQdw,298.15,0.3997,100,31.444,Hu et al. (2016),Density,Liquid,AADYJk,O,water,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,,,
bNQdw,298.15,0.6998,100,53.838,Hu et al. (2016),Density,Liquid,AADYJk,O,water,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,,,
bNQdw,298.15,0.9883,100,74.479,Hu et al. (2016),Density,Liquid,AADYJk,O,water,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,,,
bNQdw,298.15,1.4996,100,109.01,Hu et al. (2016),Density,Liquid,AADYJk,O,water,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,,,
bNQdw,298.15,1.9995,100,140.54,Hu et al. (2016),Density,Liquid,AADYJk,O,water,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,,,
bNQdw,298.15,2.9985,100,197.47,Hu et al. (2016),Density,Liquid,AADYJk,O,water,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,,,
bNQdw,298.15,3.9912,100,247.15,Hu et al. (2016),Density,Liquid,AADYJk,O,water,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,,,
bNQdw,298.15,5.8794,100,326.1,Hu et al. (2016),Density,Liquid,AADYJk,O,water,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,,,
bNQdw,298.15,7.4931,100,381.04,Hu et al. (2016),Density,Liquid,AADYJk,O,water,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,,,
bNQdw,298.15,9.6345,100,440.17,Hu et al. (2016),Density,Liquid,AADYJk,O,water,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,,,
bNQdw,303.15,0.04996,100,4.026,Hu et al. (2016),Density,Liquid,AADYJk,O,water,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,,,
bNQdw,303.15,0.06998,100,5.627,Hu et al. (2016),Density,Liquid,AADYJk,O,water,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,,,
