setid,"MolaLity of 1-methyl-3-octylimidazolium gluconate, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
eRDwB,0,101,298.15,801.548,Chen et al. (2016b),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABXEWb,CCCCCCCCn1cc[n+](C)c1.O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,1-methyl-3-octylimidazolium gluconate,,,
eRDwB,0.0404,101,298.15,806.19,Chen et al. (2016b),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABXEWb,CCCCCCCCn1cc[n+](C)c1.O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,1-methyl-3-octylimidazolium gluconate,,,
eRDwB,0.0767,101,298.15,810.275,Chen et al. (2016b),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABXEWb,CCCCCCCCn1cc[n+](C)c1.O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,1-methyl-3-octylimidazolium gluconate,,,
eRDwB,0.0815,101,298.15,810.806,Chen et al. (2016b),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABXEWb,CCCCCCCCn1cc[n+](C)c1.O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,1-methyl-3-octylimidazolium gluconate,,,
eRDwB,0.0839,101,298.15,811.075,Chen et al. (2016b),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABXEWb,CCCCCCCCn1cc[n+](C)c1.O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,1-methyl-3-octylimidazolium gluconate,,,
eRDwB,0.119,101,298.15,814.922,Chen et al. (2016b),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABXEWb,CCCCCCCCn1cc[n+](C)c1.O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,1-methyl-3-octylimidazolium gluconate,,,
eRDwB,0.1599,101,298.15,819.319,Chen et al. (2016b),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABXEWb,CCCCCCCCn1cc[n+](C)c1.O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,1-methyl-3-octylimidazolium gluconate,,,
