setid,"Temperature, K",Mole fraction of 3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
PJfeG,288.15,1,101,1270,Vercher et al. (2012),Density,Liquid,AADYJk,O,water,ABGHfb,CCCCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),,,
PJfeG,298.15,0,101,997.06,Vercher et al. (2012),Density,Liquid,AADYJk,O,water,ABGHfb,CCCCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),,,
PJfeG,298.15,0.04992,101,1109.08,Vercher et al. (2012),Density,Liquid,AADYJk,O,water,ABGHfb,CCCCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),,,
PJfeG,298.15,0.1001,101,1157.27,Vercher et al. (2012),Density,Liquid,AADYJk,O,water,ABGHfb,CCCCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),,,
PJfeG,298.15,0.14982,101,1184.63,Vercher et al. (2012),Density,Liquid,AADYJk,O,water,ABGHfb,CCCCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),,,
PJfeG,298.15,0.19984,101,1202.11,Vercher et al. (2012),Density,Liquid,AADYJk,O,water,ABGHfb,CCCCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),,,
PJfeG,298.15,0.30128,101,1223.27,Vercher et al. (2012),Density,Liquid,AADYJk,O,water,ABGHfb,CCCCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),,,
PJfeG,298.15,0.40123,101,1235.48,Vercher et al. (2012),Density,Liquid,AADYJk,O,water,ABGHfb,CCCCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),,,
PJfeG,298.15,0.49597,101,1243.13,Vercher et al. (2012),Density,Liquid,AADYJk,O,water,ABGHfb,CCCCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),,,
PJfeG,298.15,0.60165,101,1249.23,Vercher et al. (2012),Density,Liquid,AADYJk,O,water,ABGHfb,CCCCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),,,
PJfeG,298.15,0.70071,101,1253.44,Vercher et al. (2012),Density,Liquid,AADYJk,O,water,ABGHfb,CCCCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),,,
PJfeG,298.15,0.85508,101,1258.4,Vercher et al. (2012),Density,Liquid,AADYJk,O,water,ABGHfb,CCCCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),,,
PJfeG,298.15,0.90059,101,1259.6,Vercher et al. (2012),Density,Liquid,AADYJk,O,water,ABGHfb,CCCCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),,,
PJfeG,298.15,1,101,1262.2,Vercher et al. (2012),Density,Liquid,AADYJk,O,water,ABGHfb,CCCCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),,,
PJfeG,308.15,0,101,994.05,Vercher et al. (2012),Density,Liquid,AADYJk,O,water,ABGHfb,CCCCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),,,
PJfeG,308.15,0.04992,101,1102.81,Vercher et al. (2012),Density,Liquid,AADYJk,O,water,ABGHfb,CCCCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),,,
PJfeG,308.15,0.1001,101,1149.85,Vercher et al. (2012),Density,Liquid,AADYJk,O,water,ABGHfb,CCCCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),,,
PJfeG,308.15,0.14982,101,1176.7,Vercher et al. (2012),Density,Liquid,AADYJk,O,water,ABGHfb,CCCCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),,,
PJfeG,308.15,0.19984,101,1193.95,Vercher et al. (2012),Density,Liquid,AADYJk,O,water,ABGHfb,CCCCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),,,
