setid,"Temperature, K",Mole fraction of 1-methyl-3-octylimidazolium tetrafluoroborate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
cYbiq,298.15,0,100,780.72,Vaid et al. (2016),Density,Liquid,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
cYbiq,298.15,0.102,100,858.7,Vaid et al. (2016),Density,Liquid,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
cYbiq,298.15,0.199,100,914.6,Vaid et al. (2016),Density,Liquid,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
cYbiq,298.15,0.301,100,959.5,Vaid et al. (2016),Density,Liquid,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
cYbiq,298.15,0.405,100,994.8,Vaid et al. (2016),Density,Liquid,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
cYbiq,298.15,0.5,100,1020.7,Vaid et al. (2016),Density,Liquid,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
cYbiq,298.15,0.604,100,1044,Vaid et al. (2016),Density,Liquid,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
cYbiq,298.15,0.702,100,1062.7,Vaid et al. (2016),Density,Liquid,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
cYbiq,298.15,0.799,100,1078.4,Vaid et al. (2016),Density,Liquid,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
cYbiq,298.15,0.901,100,1092.8,Vaid et al. (2016),Density,Liquid,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
