setid,"Temperature, K","MolaLity of 4-decyl-4-methylmorpholinium tetrafluoroborate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
aTbRT,298.15,0,100,943.952,Marcinkowski et al. (2017),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABLQFv,CCCCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,4-decyl-4-methylmorpholinium tetrafluoroborate,,,
aTbRT,298.15,0.0103,100,944.558,Marcinkowski et al. (2017),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABLQFv,CCCCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,4-decyl-4-methylmorpholinium tetrafluoroborate,,,
aTbRT,298.15,0.0157,100,944.87,Marcinkowski et al. (2017),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABLQFv,CCCCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,4-decyl-4-methylmorpholinium tetrafluoroborate,,,
aTbRT,298.15,0.0215,100,945.205,Marcinkowski et al. (2017),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABLQFv,CCCCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,4-decyl-4-methylmorpholinium tetrafluoroborate,,,
aTbRT,298.15,0.0269,100,945.513,Marcinkowski et al. (2017),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABLQFv,CCCCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,4-decyl-4-methylmorpholinium tetrafluoroborate,,,
aTbRT,298.15,0.0319,100,945.798,Marcinkowski et al. (2017),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABLQFv,CCCCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,4-decyl-4-methylmorpholinium tetrafluoroborate,,,
aTbRT,298.15,0.0429,100,946.408,Marcinkowski et al. (2017),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABLQFv,CCCCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,4-decyl-4-methylmorpholinium tetrafluoroborate,,,
aTbRT,298.15,0.0647,100,947.604,Marcinkowski et al. (2017),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABLQFv,CCCCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,4-decyl-4-methylmorpholinium tetrafluoroborate,,,
aTbRT,298.15,0.0867,100,948.781,Marcinkowski et al. (2017),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABLQFv,CCCCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,4-decyl-4-methylmorpholinium tetrafluoroborate,,,
aTbRT,298.15,0.1081,100,949.903,Marcinkowski et al. (2017),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABLQFv,CCCCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,4-decyl-4-methylmorpholinium tetrafluoroborate,,,
aTbRT,298.15,0.1522,100,952.169,Marcinkowski et al. (2017),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABLQFv,CCCCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,4-decyl-4-methylmorpholinium tetrafluoroborate,,,
aTbRT,298.15,0.1872,100,953.911,Marcinkowski et al. (2017),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABLQFv,CCCCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,4-decyl-4-methylmorpholinium tetrafluoroborate,,,
aTbRT,298.15,0.2224,100,955.607,Marcinkowski et al. (2017),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABLQFv,CCCCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,4-decyl-4-methylmorpholinium tetrafluoroborate,,,
aTbRT,298.15,0.2824,100,958.412,Marcinkowski et al. (2017),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABLQFv,CCCCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,4-decyl-4-methylmorpholinium tetrafluoroborate,,,
aTbRT,298.15,0.3438,100,961.169,Marcinkowski et al. (2017),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABLQFv,CCCCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,4-decyl-4-methylmorpholinium tetrafluoroborate,,,
aTbRT,303.15,0,100,939.187,Marcinkowski et al. (2017),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABLQFv,CCCCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,4-decyl-4-methylmorpholinium tetrafluoroborate,,,
aTbRT,303.15,0.0103,100,939.802,Marcinkowski et al. (2017),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABLQFv,CCCCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,4-decyl-4-methylmorpholinium tetrafluoroborate,,,
aTbRT,303.15,0.0157,100,940.117,Marcinkowski et al. (2017),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABLQFv,CCCCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,4-decyl-4-methylmorpholinium tetrafluoroborate,,,
aTbRT,303.15,0.0215,100,940.455,Marcinkowski et al. (2017),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABLQFv,CCCCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,4-decyl-4-methylmorpholinium tetrafluoroborate,,,
aTbRT,303.15,0.0269,100,940.766,Marcinkowski et al. (2017),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABLQFv,CCCCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,4-decyl-4-methylmorpholinium tetrafluoroborate,,,
aTbRT,303.15,0.0319,100,941.054,Marcinkowski et al. (2017),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABLQFv,CCCCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,4-decyl-4-methylmorpholinium tetrafluoroborate,,,
aTbRT,303.15,0.0429,100,941.672,Marcinkowski et al. (2017),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABLQFv,CCCCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,4-decyl-4-methylmorpholinium tetrafluoroborate,,,
aTbRT,303.15,0.0647,100,942.881,Marcinkowski et al. (2017),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABLQFv,CCCCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,4-decyl-4-methylmorpholinium tetrafluoroborate,,,
aTbRT,303.15,0.0867,100,944.069,Marcinkowski et al. (2017),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABLQFv,CCCCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,4-decyl-4-methylmorpholinium tetrafluoroborate,,,
aTbRT,303.15,0.1081,100,945.202,Marcinkowski et al. (2017),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABLQFv,CCCCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,4-decyl-4-methylmorpholinium tetrafluoroborate,,,
