setid,"Solvent: MolaLity of sodium dodecyl sulfate, mol/kg","Temperature, K","MolaLity of L-arginine, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
pNnZy,0,288.15,0.015,101,999.8,Naz et al. (2018),Density,Liquid,AAhaWw,NC(N)=NCCC[C@H](N)C(=O)O,L-arginine,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
pNnZy,0,288.15,0.025,101,1000.3,Naz et al. (2018),Density,Liquid,AAhaWw,NC(N)=NCCC[C@H](N)C(=O)O,L-arginine,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
pNnZy,0,288.15,0.035,101,1000.8,Naz et al. (2018),Density,Liquid,AAhaWw,NC(N)=NCCC[C@H](N)C(=O)O,L-arginine,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
pNnZy,0,288.15,0.045,101,1001.3,Naz et al. (2018),Density,Liquid,AAhaWw,NC(N)=NCCC[C@H](N)C(=O)O,L-arginine,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
pNnZy,0,288.15,0.055,101,1001.8,Naz et al. (2018),Density,Liquid,AAhaWw,NC(N)=NCCC[C@H](N)C(=O)O,L-arginine,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
pNnZy,0,288.15,0.065,101,1002.3,Naz et al. (2018),Density,Liquid,AAhaWw,NC(N)=NCCC[C@H](N)C(=O)O,L-arginine,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
pNnZy,0,288.15,0.075,101,1002.8,Naz et al. (2018),Density,Liquid,AAhaWw,NC(N)=NCCC[C@H](N)C(=O)O,L-arginine,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
pNnZy,0,288.15,0.085,101,1003.3,Naz et al. (2018),Density,Liquid,AAhaWw,NC(N)=NCCC[C@H](N)C(=O)O,L-arginine,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
pNnZy,0,288.15,0.095,101,1003.8,Naz et al. (2018),Density,Liquid,AAhaWw,NC(N)=NCCC[C@H](N)C(=O)O,L-arginine,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
pNnZy,0,288.15,0.105,101,1004.2,Naz et al. (2018),Density,Liquid,AAhaWw,NC(N)=NCCC[C@H](N)C(=O)O,L-arginine,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
