setid,"Temperature, K","MolaLity of 1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ZJsvC,293.15,0,100,998.2,Vranes et al. (2016b),Density,Liquid,AADYJk,O,water,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,,,
ZJsvC,293.15,0.0054,100,998.3,Vranes et al. (2016b),Density,Liquid,AADYJk,O,water,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,,,
ZJsvC,293.15,0.00661,100,998.4,Vranes et al. (2016b),Density,Liquid,AADYJk,O,water,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,,,
ZJsvC,293.15,0.00978,100,998.5,Vranes et al. (2016b),Density,Liquid,AADYJk,O,water,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,,,
ZJsvC,293.15,0.01304,100,998.6,Vranes et al. (2016b),Density,Liquid,AADYJk,O,water,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,,,
ZJsvC,293.15,0.01569,100,998.6,Vranes et al. (2016b),Density,Liquid,AADYJk,O,water,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,,,
ZJsvC,293.15,0.0188,100,998.8,Vranes et al. (2016b),Density,Liquid,AADYJk,O,water,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,,,
ZJsvC,293.15,0.02189,100,998.9,Vranes et al. (2016b),Density,Liquid,AADYJk,O,water,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,,,
ZJsvC,293.15,0.02543,100,999,Vranes et al. (2016b),Density,Liquid,AADYJk,O,water,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,,,
ZJsvC,293.15,0.03157,100,999.2,Vranes et al. (2016b),Density,Liquid,AADYJk,O,water,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,,,
ZJsvC,298.15,0,100,997,Vranes et al. (2016b),Density,Liquid,AADYJk,O,water,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,,,
ZJsvC,298.15,0.0054,100,997.2,Vranes et al. (2016b),Density,Liquid,AADYJk,O,water,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,,,
ZJsvC,298.15,0.00661,100,997.2,Vranes et al. (2016b),Density,Liquid,AADYJk,O,water,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,,,
ZJsvC,298.15,0.00978,100,997.3,Vranes et al. (2016b),Density,Liquid,AADYJk,O,water,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,,,
ZJsvC,298.15,0.01304,100,997.4,Vranes et al. (2016b),Density,Liquid,AADYJk,O,water,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,,,
ZJsvC,298.15,0.01569,100,997.5,Vranes et al. (2016b),Density,Liquid,AADYJk,O,water,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,,,
ZJsvC,298.15,0.0188,100,997.6,Vranes et al. (2016b),Density,Liquid,AADYJk,O,water,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,,,
ZJsvC,298.15,0.02189,100,997.7,Vranes et al. (2016b),Density,Liquid,AADYJk,O,water,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,,,
ZJsvC,298.15,0.02543,100,997.8,Vranes et al. (2016b),Density,Liquid,AADYJk,O,water,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,,,
ZJsvC,298.15,0.03157,100,998,Vranes et al. (2016b),Density,Liquid,AADYJk,O,water,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,,,
ZJsvC,303.15,0,100,995.6,Vranes et al. (2016b),Density,Liquid,AADYJk,O,water,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,,,
ZJsvC,303.15,0.0054,100,995.8,Vranes et al. (2016b),Density,Liquid,AADYJk,O,water,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,,,
ZJsvC,303.15,0.00661,100,995.8,Vranes et al. (2016b),Density,Liquid,AADYJk,O,water,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,,,
ZJsvC,303.15,0.00978,100,995.9,Vranes et al. (2016b),Density,Liquid,AADYJk,O,water,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,,,
ZJsvC,303.15,0.01304,100,996,Vranes et al. (2016b),Density,Liquid,AADYJk,O,water,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,,,
ZJsvC,303.15,0.01569,100,996.1,Vranes et al. (2016b),Density,Liquid,AADYJk,O,water,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,,,
ZJsvC,303.15,0.0188,100,996.2,Vranes et al. (2016b),Density,Liquid,AADYJk,O,water,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,,,
ZJsvC,303.15,0.02189,100,996.3,Vranes et al. (2016b),Density,Liquid,AADYJk,O,water,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,,,
ZJsvC,303.15,0.02543,100,996.4,Vranes et al. (2016b),Density,Liquid,AADYJk,O,water,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,,,
ZJsvC,303.15,0.03157,100,996.6,Vranes et al. (2016b),Density,Liquid,AADYJk,O,water,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,,,
ZJsvC,308.15,0,100,994,Vranes et al. (2016b),Density,Liquid,AADYJk,O,water,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,,,
ZJsvC,308.15,0.0054,100,994.2,Vranes et al. (2016b),Density,Liquid,AADYJk,O,water,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,,,
ZJsvC,308.15,0.00661,100,994.2,Vranes et al. (2016b),Density,Liquid,AADYJk,O,water,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,,,
ZJsvC,308.15,0.00978,100,994.3,Vranes et al. (2016b),Density,Liquid,AADYJk,O,water,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,,,
ZJsvC,308.15,0.01304,100,994.4,Vranes et al. (2016b),Density,Liquid,AADYJk,O,water,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,,,
ZJsvC,308.15,0.01569,100,994.5,Vranes et al. (2016b),Density,Liquid,AADYJk,O,water,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,,,
ZJsvC,308.15,0.0188,100,994.5,Vranes et al. (2016b),Density,Liquid,AADYJk,O,water,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,,,
