setid,"Temperature, K","MolaLity of ethylhexadecyldimethylammonium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
COBEq,298.15,0.0002,101,996.43,Sheikh and Bhat (2012),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water,,,
COBEq,298.15,0.0005,101,996.47,Sheikh and Bhat (2012),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water,,,
COBEq,298.15,0.0008,101,996.51,Sheikh and Bhat (2012),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water,,,
COBEq,298.15,0.0012,101,996.54,Sheikh and Bhat (2012),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water,,,
COBEq,298.15,0.0016,101,996.56,Sheikh and Bhat (2012),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water,,,
COBEq,298.15,0.002,101,996.58,Sheikh and Bhat (2012),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water,,,
COBEq,298.15,0.0025,101,996.6,Sheikh and Bhat (2012),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water,,,
COBEq,298.15,0.003,101,996.62,Sheikh and Bhat (2012),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water,,,
COBEq,303.15,0.0002,101,994.49,Sheikh and Bhat (2012),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water,,,
COBEq,303.15,0.0005,101,994.52,Sheikh and Bhat (2012),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water,,,
COBEq,303.15,0.0008,101,994.56,Sheikh and Bhat (2012),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water,,,
COBEq,303.15,0.0012,101,994.59,Sheikh and Bhat (2012),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water,,,
COBEq,303.15,0.0016,101,994.61,Sheikh and Bhat (2012),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water,,,
COBEq,303.15,0.002,101,994.62,Sheikh and Bhat (2012),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water,,,
COBEq,303.15,0.0025,101,994.64,Sheikh and Bhat (2012),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water,,,
COBEq,303.15,0.003,101,994.66,Sheikh and Bhat (2012),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water,,,
