setid,"MolaLity of guanidine acetate, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
AlqfG,0.0143,298,101,997.96,Kumar (2001),Density,Liquid,AAWvWm,CC(=O)O.N=C(N)N,guanidine acetate,AADYJk,O,water,,,
AlqfG,0.0267,298,101,998.74,Kumar (2001),Density,Liquid,AAWvWm,CC(=O)O.N=C(N)N,guanidine acetate,AADYJk,O,water,,,
AlqfG,0.0489,298,101,1001.1,Kumar (2001),Density,Liquid,AAWvWm,CC(=O)O.N=C(N)N,guanidine acetate,AADYJk,O,water,,,
AlqfG,0.0852,298,101,1002.4,Kumar (2001),Density,Liquid,AAWvWm,CC(=O)O.N=C(N)N,guanidine acetate,AADYJk,O,water,,,
AlqfG,0.4991,298,101,1026.9,Kumar (2001),Density,Liquid,AAWvWm,CC(=O)O.N=C(N)N,guanidine acetate,AADYJk,O,water,,,
AlqfG,0.7092,298,101,1038.6,Kumar (2001),Density,Liquid,AAWvWm,CC(=O)O.N=C(N)N,guanidine acetate,AADYJk,O,water,,,
AlqfG,1.0256,298,101,1055.5,Kumar (2001),Density,Liquid,AAWvWm,CC(=O)O.N=C(N)N,guanidine acetate,AADYJk,O,water,,,
AlqfG,1.4952,298,101,1079.1,Kumar (2001),Density,Liquid,AAWvWm,CC(=O)O.N=C(N)N,guanidine acetate,AADYJk,O,water,,,
AlqfG,2.0434,298,101,1104.4,Kumar (2001),Density,Liquid,AAWvWm,CC(=O)O.N=C(N)N,guanidine acetate,AADYJk,O,water,,,
AlqfG,2.6101,298,101,1128.5,Kumar (2001),Density,Liquid,AAWvWm,CC(=O)O.N=C(N)N,guanidine acetate,AADYJk,O,water,,,
