setid,"MolaLity of 1-butyl-3-methylimidazolium thiocyanate, mol/kg","Solvent: MolaLity of lithium bromide, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
tRYzO,0,0.272,101,298.15,1049.2,Shekaari et al. (2019c),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAQklV,[Br-].[Li+],lithium bromide,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
tRYzO,0,0.5437,101,298.15,1068.3,Shekaari et al. (2019c),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAQklV,[Br-].[Li+],lithium bromide,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
tRYzO,0,0.8221,101,298.15,1087.2,Shekaari et al. (2019c),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAQklV,[Br-].[Li+],lithium bromide,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
tRYzO,0.011,0.272,101,298.15,1049.7,Shekaari et al. (2019c),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAQklV,[Br-].[Li+],lithium bromide,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
tRYzO,0.0111,0.5437,101,298.15,1068.7,Shekaari et al. (2019c),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAQklV,[Br-].[Li+],lithium bromide,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
tRYzO,0.0116,0.8221,101,298.15,1087.6,Shekaari et al. (2019c),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAQklV,[Br-].[Li+],lithium bromide,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
tRYzO,0.0256,0.8221,101,298.15,1088,Shekaari et al. (2019c),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAQklV,[Br-].[Li+],lithium bromide,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
tRYzO,0.029,0.272,101,298.15,1050.6,Shekaari et al. (2019c),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAQklV,[Br-].[Li+],lithium bromide,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
tRYzO,0.0314,0.5437,101,298.15,1069.5,Shekaari et al. (2019c),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAQklV,[Br-].[Li+],lithium bromide,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
tRYzO,0.0429,0.8221,101,298.15,1088.6,Shekaari et al. (2019c),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAQklV,[Br-].[Li+],lithium bromide,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
tRYzO,0.043,0.272,101,298.15,1051.3,Shekaari et al. (2019c),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAQklV,[Br-].[Li+],lithium bromide,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
tRYzO,0.044,0.5437,101,298.15,1070,Shekaari et al. (2019c),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAQklV,[Br-].[Li+],lithium bromide,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
tRYzO,0.0574,0.5437,101,298.15,1070.6,Shekaari et al. (2019c),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAQklV,[Br-].[Li+],lithium bromide,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
tRYzO,0.0581,0.272,101,298.15,1052,Shekaari et al. (2019c),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAQklV,[Br-].[Li+],lithium bromide,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
tRYzO,0.0628,0.8221,101,298.15,1089.2,Shekaari et al. (2019c),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAQklV,[Br-].[Li+],lithium bromide,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
tRYzO,0.0755,0.272,101,298.15,1052.8,Shekaari et al. (2019c),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAQklV,[Br-].[Li+],lithium bromide,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
tRYzO,0.0766,0.8221,101,298.15,1089.6,Shekaari et al. (2019c),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAQklV,[Br-].[Li+],lithium bromide,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
tRYzO,0.0791,0.5437,101,298.15,1071.4,Shekaari et al. (2019c),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAQklV,[Br-].[Li+],lithium bromide,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
tRYzO,0.0906,0.272,101,298.15,1053.5,Shekaari et al. (2019c),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAQklV,[Br-].[Li+],lithium bromide,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
tRYzO,0.0909,0.8221,101,298.15,1090,Shekaari et al. (2019c),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAQklV,[Br-].[Li+],lithium bromide,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
tRYzO,0.0932,0.5437,101,298.15,1071.9,Shekaari et al. (2019c),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAQklV,[Br-].[Li+],lithium bromide,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
tRYzO,0.1058,0.272,101,298.15,1054.2,Shekaari et al. (2019c),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAQklV,[Br-].[Li+],lithium bromide,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
tRYzO,0.1062,0.8221,101,298.15,1090.5,Shekaari et al. (2019c),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAQklV,[Br-].[Li+],lithium bromide,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
tRYzO,0.1093,0.5437,101,298.15,1072.6,Shekaari et al. (2019c),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAQklV,[Br-].[Li+],lithium bromide,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
tRYzO,0.123,0.272,101,298.15,1055,Shekaari et al. (2019c),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAQklV,[Br-].[Li+],lithium bromide,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
tRYzO,0.1248,0.5437,101,298.15,1073.1,Shekaari et al. (2019c),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAQklV,[Br-].[Li+],lithium bromide,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
tRYzO,0.1254,0.8221,101,298.15,1091.1,Shekaari et al. (2019c),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAQklV,[Br-].[Li+],lithium bromide,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
