setid,"Solvent: MolaLity of 1-dodecyl-3-methylimidazolium bromide, mol/kg","MolaLity of 2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
hczyx,0,0,293.15,100,998.198,Singh et al. (2023b),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
hczyx,0,0,298.15,100,996.781,Singh et al. (2023b),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
hczyx,0,0,303.15,100,995.341,Singh et al. (2023b),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
hczyx,0,0,308.15,100,993.797,Singh et al. (2023b),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
hczyx,0,0,313.15,100,991.796,Singh et al. (2023b),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
hczyx,0,0,318.15,100,989.831,Singh et al. (2023b),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
hczyx,0,0.01,293.15,100,998.564,Singh et al. (2023b),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
hczyx,0,0.01,298.15,100,997.141,Singh et al. (2023b),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
hczyx,0,0.01,303.15,100,995.694,Singh et al. (2023b),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
hczyx,0,0.01,308.15,100,994.144,Singh et al. (2023b),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
