setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium trifluoromethanesulfonate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
CmClY,293.15,0.0186,101.3,1063.6,Garcia-Miaja et al. (2009a),Density,Liquid,AADYJk,O,water,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
CmClY,293.15,0.0522,101.3,1142.6,Garcia-Miaja et al. (2009a),Density,Liquid,AADYJk,O,water,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
CmClY,293.15,0.0995,101.3,1208.9,Garcia-Miaja et al. (2009a),Density,Liquid,AADYJk,O,water,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
CmClY,293.15,0.2037,101.3,1282.4,Garcia-Miaja et al. (2009a),Density,Liquid,AADYJk,O,water,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
CmClY,293.15,0.2952,101.3,1315.7,Garcia-Miaja et al. (2009a),Density,Liquid,AADYJk,O,water,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
CmClY,293.15,0.3868,101.3,1336.6,Garcia-Miaja et al. (2009a),Density,Liquid,AADYJk,O,water,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
CmClY,293.15,0.4761,101.3,1350.7,Garcia-Miaja et al. (2009a),Density,Liquid,AADYJk,O,water,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
CmClY,293.15,0.5771,101.3,1362.4,Garcia-Miaja et al. (2009a),Density,Liquid,AADYJk,O,water,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
CmClY,293.15,0.6617,101.3,1370,Garcia-Miaja et al. (2009a),Density,Liquid,AADYJk,O,water,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
CmClY,293.15,0.8398,101.3,1381.8,Garcia-Miaja et al. (2009a),Density,Liquid,AADYJk,O,water,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
CmClY,293.15,0.8646,101.3,1383.1,Garcia-Miaja et al. (2009a),Density,Liquid,AADYJk,O,water,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
