setid,"Temperature, K","MolaLity of N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
WQcUg,298.15,0,100,936.282,Marcinkowski et al. (2018),Density,Liquid,ABgQyT,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
WQcUg,298.15,0.0102,100,937.766,Marcinkowski et al. (2018),Density,Liquid,ABgQyT,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
WQcUg,298.15,0.0154,100,938.51,Marcinkowski et al. (2018),Density,Liquid,ABgQyT,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
WQcUg,298.15,0.0257,100,939.988,Marcinkowski et al. (2018),Density,Liquid,ABgQyT,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
WQcUg,298.15,0.036,100,941.452,Marcinkowski et al. (2018),Density,Liquid,ABgQyT,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
WQcUg,298.15,0.0521,100,943.729,Marcinkowski et al. (2018),Density,Liquid,ABgQyT,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
WQcUg,298.15,0.0692,100,946.099,Marcinkowski et al. (2018),Density,Liquid,ABgQyT,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
WQcUg,298.15,0.0842,100,948.166,Marcinkowski et al. (2018),Density,Liquid,ABgQyT,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
WQcUg,298.15,0.1052,100,951.023,Marcinkowski et al. (2018),Density,Liquid,ABgQyT,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
WQcUg,298.15,0.1278,100,954.054,Marcinkowski et al. (2018),Density,Liquid,ABgQyT,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
WQcUg,298.15,0.1621,100,958.586,Marcinkowski et al. (2018),Density,Liquid,ABgQyT,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
WQcUg,303.15,0,100,931.67,Marcinkowski et al. (2018),Density,Liquid,ABgQyT,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
WQcUg,303.15,0.0102,100,933.155,Marcinkowski et al. (2018),Density,Liquid,ABgQyT,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
WQcUg,303.15,0.0154,100,933.899,Marcinkowski et al. (2018),Density,Liquid,ABgQyT,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
