setid,"Temperature, K",Mole fraction of choline cyclopentane carboxylate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
lMFpG,293.15,0,101,789.921,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAppNn,C[N+](C)(C)CCO.O=C([O-])C1CCCC1,choline cyclopentane carboxylate,,,
lMFpG,293.15,0.1,101,883.761,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAppNn,C[N+](C)(C)CCO.O=C([O-])C1CCCC1,choline cyclopentane carboxylate,,,
lMFpG,293.15,0.2,101,941.296,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAppNn,C[N+](C)(C)CCO.O=C([O-])C1CCCC1,choline cyclopentane carboxylate,,,
lMFpG,293.15,0.3,101,980.491,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAppNn,C[N+](C)(C)CCO.O=C([O-])C1CCCC1,choline cyclopentane carboxylate,,,
lMFpG,293.15,0.3999,101,1009.16,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAppNn,C[N+](C)(C)CCO.O=C([O-])C1CCCC1,choline cyclopentane carboxylate,,,
lMFpG,293.15,0.5001,101,1031.16,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAppNn,C[N+](C)(C)CCO.O=C([O-])C1CCCC1,choline cyclopentane carboxylate,,,
lMFpG,293.15,0.5992,101,1048.05,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAppNn,C[N+](C)(C)CCO.O=C([O-])C1CCCC1,choline cyclopentane carboxylate,,,
lMFpG,293.15,0.7,101,1062.1,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAppNn,C[N+](C)(C)CCO.O=C([O-])C1CCCC1,choline cyclopentane carboxylate,,,
lMFpG,293.15,0.7986,101,1073.7,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAppNn,C[N+](C)(C)CCO.O=C([O-])C1CCCC1,choline cyclopentane carboxylate,,,
lMFpG,293.15,0.9001,101,1083.4,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAppNn,C[N+](C)(C)CCO.O=C([O-])C1CCCC1,choline cyclopentane carboxylate,,,
lMFpG,293.15,1,101,1092.5,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAppNn,C[N+](C)(C)CCO.O=C([O-])C1CCCC1,choline cyclopentane carboxylate,,,
lMFpG,298.15,0,101,785.631,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAppNn,C[N+](C)(C)CCO.O=C([O-])C1CCCC1,choline cyclopentane carboxylate,,,
lMFpG,298.15,0.1,101,880.058,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAppNn,C[N+](C)(C)CCO.O=C([O-])C1CCCC1,choline cyclopentane carboxylate,,,
lMFpG,298.15,0.2,101,937.876,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAppNn,C[N+](C)(C)CCO.O=C([O-])C1CCCC1,choline cyclopentane carboxylate,,,
lMFpG,298.15,0.3,101,977.241,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAppNn,C[N+](C)(C)CCO.O=C([O-])C1CCCC1,choline cyclopentane carboxylate,,,
lMFpG,298.15,0.3999,101,1006.03,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAppNn,C[N+](C)(C)CCO.O=C([O-])C1CCCC1,choline cyclopentane carboxylate,,,
lMFpG,298.15,0.5001,101,1028.15,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAppNn,C[N+](C)(C)CCO.O=C([O-])C1CCCC1,choline cyclopentane carboxylate,,,
lMFpG,298.15,0.5992,101,1045.02,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAppNn,C[N+](C)(C)CCO.O=C([O-])C1CCCC1,choline cyclopentane carboxylate,,,
lMFpG,298.15,0.7,101,1059.1,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAppNn,C[N+](C)(C)CCO.O=C([O-])C1CCCC1,choline cyclopentane carboxylate,,,
lMFpG,298.15,0.7986,101,1070.7,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAppNn,C[N+](C)(C)CCO.O=C([O-])C1CCCC1,choline cyclopentane carboxylate,,,
lMFpG,298.15,0.9001,101,1080.5,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAppNn,C[N+](C)(C)CCO.O=C([O-])C1CCCC1,choline cyclopentane carboxylate,,,
lMFpG,298.15,1,101,1089.6,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAppNn,C[N+](C)(C)CCO.O=C([O-])C1CCCC1,choline cyclopentane carboxylate,,,
lMFpG,303.15,0,101,781.313,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAppNn,C[N+](C)(C)CCO.O=C([O-])C1CCCC1,choline cyclopentane carboxylate,,,
lMFpG,303.15,0.1,101,876.346,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAppNn,C[N+](C)(C)CCO.O=C([O-])C1CCCC1,choline cyclopentane carboxylate,,,
lMFpG,303.15,0.2,101,934.456,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAppNn,C[N+](C)(C)CCO.O=C([O-])C1CCCC1,choline cyclopentane carboxylate,,,
lMFpG,303.15,0.3,101,973.993,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAppNn,C[N+](C)(C)CCO.O=C([O-])C1CCCC1,choline cyclopentane carboxylate,,,
lMFpG,303.15,0.3999,101,1002.91,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAppNn,C[N+](C)(C)CCO.O=C([O-])C1CCCC1,choline cyclopentane carboxylate,,,
lMFpG,303.15,0.5001,101,1025.13,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAppNn,C[N+](C)(C)CCO.O=C([O-])C1CCCC1,choline cyclopentane carboxylate,,,
lMFpG,303.15,0.5992,101,1041.99,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAppNn,C[N+](C)(C)CCO.O=C([O-])C1CCCC1,choline cyclopentane carboxylate,,,
lMFpG,303.15,0.7,101,1056.2,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAppNn,C[N+](C)(C)CCO.O=C([O-])C1CCCC1,choline cyclopentane carboxylate,,,
lMFpG,303.15,0.7986,101,1067.8,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAppNn,C[N+](C)(C)CCO.O=C([O-])C1CCCC1,choline cyclopentane carboxylate,,,
