setid,"Temperature, K","Pressure, kPa",Weight fraction of trimethylammonium bis((trifluoromethyl)sulfonyl)amide,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
JHobW,278,101,0.5,1222.27,Xiong et al. (2021),Density,Liquid,ABNWZK,C[NH+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,trimethylammonium bis((trifluoromethyl)sulfonyl)amide,AASFLt,N#CCCCC#N,pentanedinitrile,,,
JHobW,283,101,0.5,1217.79,Xiong et al. (2021),Density,Liquid,ABNWZK,C[NH+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,trimethylammonium bis((trifluoromethyl)sulfonyl)amide,AASFLt,N#CCCCC#N,pentanedinitrile,,,
JHobW,288,101,0.5,1213.28,Xiong et al. (2021),Density,Liquid,ABNWZK,C[NH+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,trimethylammonium bis((trifluoromethyl)sulfonyl)amide,AASFLt,N#CCCCC#N,pentanedinitrile,,,
JHobW,293,101,0.5,1208.78,Xiong et al. (2021),Density,Liquid,ABNWZK,C[NH+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,trimethylammonium bis((trifluoromethyl)sulfonyl)amide,AASFLt,N#CCCCC#N,pentanedinitrile,,,
JHobW,298,101,0.5,1204.31,Xiong et al. (2021),Density,Liquid,ABNWZK,C[NH+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,trimethylammonium bis((trifluoromethyl)sulfonyl)amide,AASFLt,N#CCCCC#N,pentanedinitrile,,,
JHobW,303,101,0.5,1199.84,Xiong et al. (2021),Density,Liquid,ABNWZK,C[NH+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,trimethylammonium bis((trifluoromethyl)sulfonyl)amide,AASFLt,N#CCCCC#N,pentanedinitrile,,,
JHobW,308,101,0.5,1195.39,Xiong et al. (2021),Density,Liquid,ABNWZK,C[NH+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,trimethylammonium bis((trifluoromethyl)sulfonyl)amide,AASFLt,N#CCCCC#N,pentanedinitrile,,,
JHobW,313,101,0.5,1190.95,Xiong et al. (2021),Density,Liquid,ABNWZK,C[NH+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,trimethylammonium bis((trifluoromethyl)sulfonyl)amide,AASFLt,N#CCCCC#N,pentanedinitrile,,,
JHobW,318,101,0.5,1186.51,Xiong et al. (2021),Density,Liquid,ABNWZK,C[NH+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,trimethylammonium bis((trifluoromethyl)sulfonyl)amide,AASFLt,N#CCCCC#N,pentanedinitrile,,,
JHobW,323,101,0.5,1182.13,Xiong et al. (2021),Density,Liquid,ABNWZK,C[NH+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,trimethylammonium bis((trifluoromethyl)sulfonyl)amide,AASFLt,N#CCCCC#N,pentanedinitrile,,,
JHobW,328,101,0.5,1177.68,Xiong et al. (2021),Density,Liquid,ABNWZK,C[NH+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,trimethylammonium bis((trifluoromethyl)sulfonyl)amide,AASFLt,N#CCCCC#N,pentanedinitrile,,,
JHobW,333,101,0.5,1173.28,Xiong et al. (2021),Density,Liquid,ABNWZK,C[NH+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,trimethylammonium bis((trifluoromethyl)sulfonyl)amide,AASFLt,N#CCCCC#N,pentanedinitrile,,,
JHobW,338,101,0.5,1168.88,Xiong et al. (2021),Density,Liquid,ABNWZK,C[NH+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,trimethylammonium bis((trifluoromethyl)sulfonyl)amide,AASFLt,N#CCCCC#N,pentanedinitrile,,,
JHobW,343,101,0.5,1164.5,Xiong et al. (2021),Density,Liquid,ABNWZK,C[NH+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,trimethylammonium bis((trifluoromethyl)sulfonyl)amide,AASFLt,N#CCCCC#N,pentanedinitrile,,,
JHobW,348,101,0.5,1160.12,Xiong et al. (2021),Density,Liquid,ABNWZK,C[NH+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,trimethylammonium bis((trifluoromethyl)sulfonyl)amide,AASFLt,N#CCCCC#N,pentanedinitrile,,,
JHobW,353,101,0.5,1155.76,Xiong et al. (2021),Density,Liquid,ABNWZK,C[NH+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,trimethylammonium bis((trifluoromethyl)sulfonyl)amide,AASFLt,N#CCCCC#N,pentanedinitrile,,,
