setid,"MolaLity of N,N,N-trimethyl-1-hexadecanaminium bromide, mol/kg","MolaLity of L-leucine, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
TUDCC,1,0,298.15,101,1004.43,Singh et al. (2004),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
TUDCC,1,0.02356,298.15,101,1004.96,Singh et al. (2004),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
TUDCC,1,0.03106,298.15,101,1005.13,Singh et al. (2004),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
TUDCC,1,0.04302,298.15,101,1005.41,Singh et al. (2004),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
TUDCC,1,0.04951,298.15,101,1005.52,Singh et al. (2004),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
TUDCC,1,0.05754,298.15,101,1005.73,Singh et al. (2004),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
TUDCC,1,0.05916,298.15,101,1005.76,Singh et al. (2004),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
TUDCC,1,0.0787,298.15,101,1006.2,Singh et al. (2004),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
TUDCC,1,0.08238,298.15,101,1006.27,Singh et al. (2004),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
TUDCC,1,0.09885,298.15,101,1006.63,Singh et al. (2004),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
