setid,"Temperature, K","MolaLity of N-ethyl-N-methylmorpholinium N-acetyl-L-alaninate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
sKnvy,293.15,0,101,998.205,Warminska and Smiechowski (2022),Density,Liquid,AAyDCy,CC(=O)N[C@@H](C)C(=O)[O-].CC[N+]1(C)CCOCC1,N-ethyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
sKnvy,293.15,0.02378,101,999.225,Warminska and Smiechowski (2022),Density,Liquid,AAyDCy,CC(=O)N[C@@H](C)C(=O)[O-].CC[N+]1(C)CCOCC1,N-ethyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
sKnvy,293.15,0.04843,101,1000.27,Warminska and Smiechowski (2022),Density,Liquid,AAyDCy,CC(=O)N[C@@H](C)C(=O)[O-].CC[N+]1(C)CCOCC1,N-ethyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
sKnvy,293.15,0.06372,101,1000.91,Warminska and Smiechowski (2022),Density,Liquid,AAyDCy,CC(=O)N[C@@H](C)C(=O)[O-].CC[N+]1(C)CCOCC1,N-ethyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
sKnvy,293.15,0.09999,101,1002.42,Warminska and Smiechowski (2022),Density,Liquid,AAyDCy,CC(=O)N[C@@H](C)C(=O)[O-].CC[N+]1(C)CCOCC1,N-ethyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
sKnvy,293.15,0.11928,101,1003.22,Warminska and Smiechowski (2022),Density,Liquid,AAyDCy,CC(=O)N[C@@H](C)C(=O)[O-].CC[N+]1(C)CCOCC1,N-ethyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
sKnvy,293.15,0.15525,101,1004.68,Warminska and Smiechowski (2022),Density,Liquid,AAyDCy,CC(=O)N[C@@H](C)C(=O)[O-].CC[N+]1(C)CCOCC1,N-ethyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
sKnvy,293.15,0.19994,101,1006.47,Warminska and Smiechowski (2022),Density,Liquid,AAyDCy,CC(=O)N[C@@H](C)C(=O)[O-].CC[N+]1(C)CCOCC1,N-ethyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
sKnvy,293.15,0.24633,101,1008.3,Warminska and Smiechowski (2022),Density,Liquid,AAyDCy,CC(=O)N[C@@H](C)C(=O)[O-].CC[N+]1(C)CCOCC1,N-ethyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
sKnvy,293.15,0.30295,101,1010.49,Warminska and Smiechowski (2022),Density,Liquid,AAyDCy,CC(=O)N[C@@H](C)C(=O)[O-].CC[N+]1(C)CCOCC1,N-ethyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
sKnvy,293.15,0.38242,101,1013.51,Warminska and Smiechowski (2022),Density,Liquid,AAyDCy,CC(=O)N[C@@H](C)C(=O)[O-].CC[N+]1(C)CCOCC1,N-ethyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
sKnvy,298.15,0,101,997.046,Warminska and Smiechowski (2022),Density,Liquid,AAyDCy,CC(=O)N[C@@H](C)C(=O)[O-].CC[N+]1(C)CCOCC1,N-ethyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
sKnvy,298.15,0.02378,101,998.051,Warminska and Smiechowski (2022),Density,Liquid,AAyDCy,CC(=O)N[C@@H](C)C(=O)[O-].CC[N+]1(C)CCOCC1,N-ethyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
sKnvy,298.15,0.04843,101,999.079,Warminska and Smiechowski (2022),Density,Liquid,AAyDCy,CC(=O)N[C@@H](C)C(=O)[O-].CC[N+]1(C)CCOCC1,N-ethyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
sKnvy,298.15,0.06372,101,999.71,Warminska and Smiechowski (2022),Density,Liquid,AAyDCy,CC(=O)N[C@@H](C)C(=O)[O-].CC[N+]1(C)CCOCC1,N-ethyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
sKnvy,298.15,0.09999,101,1001.19,Warminska and Smiechowski (2022),Density,Liquid,AAyDCy,CC(=O)N[C@@H](C)C(=O)[O-].CC[N+]1(C)CCOCC1,N-ethyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
sKnvy,298.15,0.11928,101,1001.97,Warminska and Smiechowski (2022),Density,Liquid,AAyDCy,CC(=O)N[C@@H](C)C(=O)[O-].CC[N+]1(C)CCOCC1,N-ethyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
sKnvy,298.15,0.15525,101,1003.41,Warminska and Smiechowski (2022),Density,Liquid,AAyDCy,CC(=O)N[C@@H](C)C(=O)[O-].CC[N+]1(C)CCOCC1,N-ethyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
sKnvy,298.15,0.19994,101,1005.18,Warminska and Smiechowski (2022),Density,Liquid,AAyDCy,CC(=O)N[C@@H](C)C(=O)[O-].CC[N+]1(C)CCOCC1,N-ethyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
sKnvy,298.15,0.24633,101,1006.98,Warminska and Smiechowski (2022),Density,Liquid,AAyDCy,CC(=O)N[C@@H](C)C(=O)[O-].CC[N+]1(C)CCOCC1,N-ethyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
sKnvy,298.15,0.30295,101,1009.13,Warminska and Smiechowski (2022),Density,Liquid,AAyDCy,CC(=O)N[C@@H](C)C(=O)[O-].CC[N+]1(C)CCOCC1,N-ethyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
sKnvy,298.15,0.38242,101,1012.1,Warminska and Smiechowski (2022),Density,Liquid,AAyDCy,CC(=O)N[C@@H](C)C(=O)[O-].CC[N+]1(C)CCOCC1,N-ethyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
sKnvy,303.15,0,101,995.646,Warminska and Smiechowski (2022),Density,Liquid,AAyDCy,CC(=O)N[C@@H](C)C(=O)[O-].CC[N+]1(C)CCOCC1,N-ethyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
sKnvy,303.15,0.02378,101,996.638,Warminska and Smiechowski (2022),Density,Liquid,AAyDCy,CC(=O)N[C@@H](C)C(=O)[O-].CC[N+]1(C)CCOCC1,N-ethyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
sKnvy,303.15,0.04843,101,997.652,Warminska and Smiechowski (2022),Density,Liquid,AAyDCy,CC(=O)N[C@@H](C)C(=O)[O-].CC[N+]1(C)CCOCC1,N-ethyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
sKnvy,303.15,0.06372,101,998.276,Warminska and Smiechowski (2022),Density,Liquid,AAyDCy,CC(=O)N[C@@H](C)C(=O)[O-].CC[N+]1(C)CCOCC1,N-ethyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
sKnvy,303.15,0.09999,101,999.738,Warminska and Smiechowski (2022),Density,Liquid,AAyDCy,CC(=O)N[C@@H](C)C(=O)[O-].CC[N+]1(C)CCOCC1,N-ethyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
sKnvy,303.15,0.11928,101,1000.51,Warminska and Smiechowski (2022),Density,Liquid,AAyDCy,CC(=O)N[C@@H](C)C(=O)[O-].CC[N+]1(C)CCOCC1,N-ethyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
sKnvy,303.15,0.15525,101,1001.93,Warminska and Smiechowski (2022),Density,Liquid,AAyDCy,CC(=O)N[C@@H](C)C(=O)[O-].CC[N+]1(C)CCOCC1,N-ethyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
sKnvy,303.15,0.19994,101,1003.66,Warminska and Smiechowski (2022),Density,Liquid,AAyDCy,CC(=O)N[C@@H](C)C(=O)[O-].CC[N+]1(C)CCOCC1,N-ethyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
