setid,"Temperature, K","MolaLity of 1-methylimidazolium chloride, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
sIrqo,278.15,0,101.3,821.77,Tomas et al. (2023),Density,Liquid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
sIrqo,278.15,0.00528,101.3,822,Tomas et al. (2023),Density,Liquid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
sIrqo,278.15,0.01039,101.3,822.24,Tomas et al. (2023),Density,Liquid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
sIrqo,278.15,0.02103,101.3,822.65,Tomas et al. (2023),Density,Liquid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
sIrqo,278.15,0.03182,101.3,822.85,Tomas et al. (2023),Density,Liquid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
sIrqo,278.15,0.04103,101.3,823.08,Tomas et al. (2023),Density,Liquid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
sIrqo,278.15,0.05077,101.3,823.23,Tomas et al. (2023),Density,Liquid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
sIrqo,278.15,0.06146,101.3,823.35,Tomas et al. (2023),Density,Liquid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
sIrqo,278.15,0.07512,101.3,823.33,Tomas et al. (2023),Density,Liquid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
sIrqo,278.15,0.1,101.3,823.4,Tomas et al. (2023),Density,Liquid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
sIrqo,283.15,0,101.3,816.61,Tomas et al. (2023),Density,Liquid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
sIrqo,283.15,0.00528,101.3,816.84,Tomas et al. (2023),Density,Liquid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
sIrqo,283.15,0.01039,101.3,817.07,Tomas et al. (2023),Density,Liquid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
sIrqo,283.15,0.02103,101.3,817.44,Tomas et al. (2023),Density,Liquid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
sIrqo,283.15,0.03182,101.3,817.61,Tomas et al. (2023),Density,Liquid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
sIrqo,283.15,0.04103,101.3,817.81,Tomas et al. (2023),Density,Liquid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
sIrqo,283.15,0.05077,101.3,817.93,Tomas et al. (2023),Density,Liquid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
sIrqo,283.15,0.06146,101.3,818,Tomas et al. (2023),Density,Liquid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
sIrqo,283.15,0.07512,101.3,817.93,Tomas et al. (2023),Density,Liquid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
sIrqo,283.15,0.1,101.3,817.89,Tomas et al. (2023),Density,Liquid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
sIrqo,288.15,0,101.3,811.4,Tomas et al. (2023),Density,Liquid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
sIrqo,288.15,0.00528,101.3,811.64,Tomas et al. (2023),Density,Liquid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
sIrqo,288.15,0.01039,101.3,811.87,Tomas et al. (2023),Density,Liquid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
sIrqo,288.15,0.02103,101.3,812.26,Tomas et al. (2023),Density,Liquid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
sIrqo,288.15,0.03182,101.3,812.44,Tomas et al. (2023),Density,Liquid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
sIrqo,288.15,0.04103,101.3,812.65,Tomas et al. (2023),Density,Liquid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
sIrqo,288.15,0.05077,101.3,812.71,Tomas et al. (2023),Density,Liquid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
sIrqo,288.15,0.06146,101.3,812.86,Tomas et al. (2023),Density,Liquid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
sIrqo,288.15,0.07512,101.3,812.8,Tomas et al. (2023),Density,Liquid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
sIrqo,288.15,0.1,101.3,812.78,Tomas et al. (2023),Density,Liquid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
sIrqo,293.15,0,101.3,806.2,Tomas et al. (2023),Density,Liquid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
sIrqo,293.15,0.00528,101.3,806.45,Tomas et al. (2023),Density,Liquid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
sIrqo,293.15,0.01039,101.3,806.69,Tomas et al. (2023),Density,Liquid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
sIrqo,293.15,0.02103,101.3,807.09,Tomas et al. (2023),Density,Liquid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
sIrqo,293.15,0.03182,101.3,807.29,Tomas et al. (2023),Density,Liquid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
