setid,"Mole fraction of 1,2-propanediol","Temperature, K","Pressure, kPa","Moles per mass of solution: 1-butyl-3-methylimidazolium bromide, mol/kg","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
lDbMQ,0.0387,298.15,101,0.1,1015.2,Checoni (2010),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
lDbMQ,0.0803,298.15,101,0.1,1025.2,Checoni (2010),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
lDbMQ,0.1246,298.15,101,0.1,1033.5,Checoni (2010),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
lDbMQ,0.1713,298.15,101,0.1,1039.2,Checoni (2010),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
lDbMQ,0.2199,298.15,101,0.1,1042.7,Checoni (2010),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
lDbMQ,0.27,298.15,101,0.1,1044.9,Checoni (2010),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
lDbMQ,0.3209,298.15,101,0.1,1046,Checoni (2010),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
lDbMQ,0.3721,298.15,101,0.1,1046.3,Checoni (2010),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
lDbMQ,0.4229,298.15,101,0.1,1046,Checoni (2010),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
lDbMQ,0.4727,298.15,101,0.1,1045.6,Checoni (2010),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
