setid,Mole fraction of triethylammonium hydrogen sulfate,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
pTgBF,0,101,298.15,997,Umapathi et al. (2014),Density,Liquid,AADYJk,O,water,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,
pTgBF,0.0257,101,298.15,1027.5,Umapathi et al. (2014),Density,Liquid,AADYJk,O,water,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,
pTgBF,0.0373,101,298.15,1038.5,Umapathi et al. (2014),Density,Liquid,AADYJk,O,water,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,
pTgBF,0.0568,101,298.15,1053,Umapathi et al. (2014),Density,Liquid,AADYJk,O,water,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,
pTgBF,0.0756,101,298.15,1063.9,Umapathi et al. (2014),Density,Liquid,AADYJk,O,water,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,
pTgBF,0.0909,101,298.15,1071.8,Umapathi et al. (2014),Density,Liquid,AADYJk,O,water,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,
pTgBF,0.131,101,298.15,1086.9,Umapathi et al. (2014),Density,Liquid,AADYJk,O,water,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,
pTgBF,0.1925,101,298.15,1102.3,Umapathi et al. (2014),Density,Liquid,AADYJk,O,water,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,
pTgBF,0.2134,101,298.15,1106.2,Umapathi et al. (2014),Density,Liquid,AADYJk,O,water,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,
pTgBF,0.2656,101,298.15,1113.9,Umapathi et al. (2014),Density,Liquid,AADYJk,O,water,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,
pTgBF,0.2989,101,298.15,1117.7,Umapathi et al. (2014),Density,Liquid,AADYJk,O,water,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,
pTgBF,0.3387,101,298.15,1121.5,Umapathi et al. (2014),Density,Liquid,AADYJk,O,water,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,
pTgBF,0.3876,101,298.15,1125.3,Umapathi et al. (2014),Density,Liquid,AADYJk,O,water,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,
pTgBF,0.4853,101,298.15,1130.8,Umapathi et al. (2014),Density,Liquid,AADYJk,O,water,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,
pTgBF,0.5272,101,298.15,1132.6,Umapathi et al. (2014),Density,Liquid,AADYJk,O,water,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,
pTgBF,0.5756,101,298.15,1134.4,Umapathi et al. (2014),Density,Liquid,AADYJk,O,water,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,
pTgBF,0.6321,101,298.15,1136.1,Umapathi et al. (2014),Density,Liquid,AADYJk,O,water,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,
pTgBF,0.6988,101,298.15,1137.8,Umapathi et al. (2014),Density,Liquid,AADYJk,O,water,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,
pTgBF,0.7791,101,298.15,1139.5,Umapathi et al. (2014),Density,Liquid,AADYJk,O,water,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,
pTgBF,0.8772,101,298.15,1141.2,Umapathi et al. (2014),Density,Liquid,AADYJk,O,water,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,
pTgBF,1,101,298.15,1142.9,Umapathi et al. (2014),Density,Liquid,AADYJk,O,water,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,
