setid,"Temperature, K","Pressure, kPa",Mole fraction of trimethylbenzylammonium chloride,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
akrHP,283.15,100,0.25,1110,Basaiahgari et al. (2018),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
akrHP,288.15,100,0.25,1107,Basaiahgari et al. (2018),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
akrHP,293.15,100,0.25,1104,Basaiahgari et al. (2018),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
akrHP,298.15,100,0.25,1101,Basaiahgari et al. (2018),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
akrHP,303.15,100,0.25,1098,Basaiahgari et al. (2018),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
akrHP,308.15,100,0.25,1095,Basaiahgari et al. (2018),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
akrHP,313.15,100,0.25,1092,Basaiahgari et al. (2018),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
akrHP,318.15,100,0.25,1089,Basaiahgari et al. (2018),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
akrHP,323.15,100,0.25,1086,Basaiahgari et al. (2018),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
akrHP,328.15,100,0.25,1083,Basaiahgari et al. (2018),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
akrHP,333.15,100,0.25,1080,Basaiahgari et al. (2018),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
akrHP,338.15,100,0.25,1077,Basaiahgari et al. (2018),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
akrHP,343.15,100,0.25,1074,Basaiahgari et al. (2018),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
