setid,"Temperature, K","Mole fraction of (3R,4R)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane","Mole fraction of (3S,4S)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane","Pressure, kPa","Molar volume, m<SUP>3</SUP>/mol",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
kjXxg,283.7,0.053,0.053,101,0.0001503,Shiflett and Yokozeki (2008b),Density,Liquid,AAwsoR,[2H][C@](F)(C(F)(F)F)[C@@]([2H])(F)C(F)(F)C(F)(F)F,"(3R,4R)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",AAwsQZ,[2H][C@@](F)(C(F)(F)F)[C@]([2H])(F)C(F)(F)C(F)(F)F,"(3S,4S)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate
kjXxg,283.7,0.472,0.472,101,0.0001535,Shiflett and Yokozeki (2008b),Density,Liquid,AAwsoR,[2H][C@](F)(C(F)(F)F)[C@@]([2H])(F)C(F)(F)C(F)(F)F,"(3R,4R)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",AAwsQZ,[2H][C@@](F)(C(F)(F)F)[C@]([2H])(F)C(F)(F)C(F)(F)F,"(3S,4S)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate
kjXxg,294,0.045,0.045,101,0.0001525,Shiflett and Yokozeki (2008b),Density,Liquid,AAwsoR,[2H][C@](F)(C(F)(F)F)[C@@]([2H])(F)C(F)(F)C(F)(F)F,"(3R,4R)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",AAwsQZ,[2H][C@@](F)(C(F)(F)F)[C@]([2H])(F)C(F)(F)C(F)(F)F,"(3S,4S)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate
kjXxg,294,0.484,0.484,101,0.0001561,Shiflett and Yokozeki (2008b),Density,Liquid,AAwsoR,[2H][C@](F)(C(F)(F)F)[C@@]([2H])(F)C(F)(F)C(F)(F)F,"(3R,4R)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",AAwsQZ,[2H][C@@](F)(C(F)(F)F)[C@]([2H])(F)C(F)(F)C(F)(F)F,"(3S,4S)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate
kjXxg,303.8,0.04,0.04,101,0.0001534,Shiflett and Yokozeki (2008b),Density,Liquid,AAwsoR,[2H][C@](F)(C(F)(F)F)[C@@]([2H])(F)C(F)(F)C(F)(F)F,"(3R,4R)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",AAwsQZ,[2H][C@@](F)(C(F)(F)F)[C@]([2H])(F)C(F)(F)C(F)(F)F,"(3S,4S)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate
kjXxg,303.8,0.488,0.488,101,0.0001592,Shiflett and Yokozeki (2008b),Density,Liquid,AAwsoR,[2H][C@](F)(C(F)(F)F)[C@@]([2H])(F)C(F)(F)C(F)(F)F,"(3R,4R)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",AAwsQZ,[2H][C@@](F)(C(F)(F)F)[C@]([2H])(F)C(F)(F)C(F)(F)F,"(3S,4S)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate
kjXxg,313.4,0.036,0.036,101,0.0001548,Shiflett and Yokozeki (2008b),Density,Liquid,AAwsoR,[2H][C@](F)(C(F)(F)F)[C@@]([2H])(F)C(F)(F)C(F)(F)F,"(3R,4R)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",AAwsQZ,[2H][C@@](F)(C(F)(F)F)[C@]([2H])(F)C(F)(F)C(F)(F)F,"(3S,4S)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate
kjXxg,313.4,0.49,0.49,101,0.0001626,Shiflett and Yokozeki (2008b),Density,Liquid,AAwsoR,[2H][C@](F)(C(F)(F)F)[C@@]([2H])(F)C(F)(F)C(F)(F)F,"(3R,4R)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",AAwsQZ,[2H][C@@](F)(C(F)(F)F)[C@]([2H])(F)C(F)(F)C(F)(F)F,"(3S,4S)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate
kjXxg,323.5,0.031,0.031,101,0.000156,Shiflett and Yokozeki (2008b),Density,Liquid,AAwsoR,[2H][C@](F)(C(F)(F)F)[C@@]([2H])(F)C(F)(F)C(F)(F)F,"(3R,4R)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",AAwsQZ,[2H][C@@](F)(C(F)(F)F)[C@]([2H])(F)C(F)(F)C(F)(F)F,"(3S,4S)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate
kjXxg,323.5,0.493,0.493,101,0.0001655,Shiflett and Yokozeki (2008b),Density,Liquid,AAwsoR,[2H][C@](F)(C(F)(F)F)[C@@]([2H])(F)C(F)(F)C(F)(F)F,"(3R,4R)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",AAwsQZ,[2H][C@@](F)(C(F)(F)F)[C@]([2H])(F)C(F)(F)C(F)(F)F,"(3S,4S)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate
