setid,Mole fraction of 1-butanamine,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
wmAzQ,0,303.15,100,958,Berton et al. (2017),Density,Liquid,AAODWt,CCCCN,1-butanamine,ABFzOJ,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,tetrabutylammonium acetate,,,
wmAzQ,0.1,303.15,100,943,Berton et al. (2017),Density,Liquid,AAODWt,CCCCN,1-butanamine,ABFzOJ,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,tetrabutylammonium acetate,,,
wmAzQ,0.2,303.15,100,926,Berton et al. (2017),Density,Liquid,AAODWt,CCCCN,1-butanamine,ABFzOJ,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,tetrabutylammonium acetate,,,
wmAzQ,0.33,303.15,100,903,Berton et al. (2017),Density,Liquid,AAODWt,CCCCN,1-butanamine,ABFzOJ,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,tetrabutylammonium acetate,,,
wmAzQ,0.5,303.15,100,871,Berton et al. (2017),Density,Liquid,AAODWt,CCCCN,1-butanamine,ABFzOJ,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,tetrabutylammonium acetate,,,
wmAzQ,0.67,303.15,100,831,Berton et al. (2017),Density,Liquid,AAODWt,CCCCN,1-butanamine,ABFzOJ,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,tetrabutylammonium acetate,,,
wmAzQ,0.8,303.15,100,794,Berton et al. (2017),Density,Liquid,AAODWt,CCCCN,1-butanamine,ABFzOJ,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,tetrabutylammonium acetate,,,
wmAzQ,0.9,303.15,100,764,Berton et al. (2017),Density,Liquid,AAODWt,CCCCN,1-butanamine,ABFzOJ,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,tetrabutylammonium acetate,,,
wmAzQ,1,303.15,100,729,Berton et al. (2017),Density,Liquid,AAODWt,CCCCN,1-butanamine,ABFzOJ,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,tetrabutylammonium acetate,,,
