setid,"Temperature, K","Solvent: MolaLity of N-dodecyl-N,N-dimethylbenzenemethanaminium chloride, mol/kg","MolaLity of glycylglycine, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
bLwgw,293.15,0.04,0,101,1002,Yan et al. (2019),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
bLwgw,293.15,0.04,0.01977,101,1003.1,Yan et al. (2019),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
bLwgw,293.15,0.04,0.04001,101,1004.3,Yan et al. (2019),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
bLwgw,293.15,0.04,0.0592,101,1005.4,Yan et al. (2019),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
bLwgw,293.15,0.04,0.0799,101,1006.5,Yan et al. (2019),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
bLwgw,293.15,0.04,0.0984,101,1007.6,Yan et al. (2019),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
bLwgw,293.15,0.04,0.1193,101,1008.7,Yan et al. (2019),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
bLwgw,293.15,0.04,0.1389,101,1009.8,Yan et al. (2019),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
bLwgw,293.15,0.04,0.1578,101,1010.9,Yan et al. (2019),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
bLwgw,293.15,0.04,0.1789,101,1012.1,Yan et al. (2019),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
bLwgw,293.15,0.04,0.1998,101,1013.2,Yan et al. (2019),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
