setid,Mole fraction of cyclohexane,Mole fraction of ethylbenzene,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
fBDYS,0,0.124,298.15,101,1210.43,Gonzalez et al. (2011d),Density,Liquid,AAUVOo,CCc1ccccc1,ethylbenzene,AAQJlb,C1CCCCC1,cyclohexane,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
fBDYS,0.013,0.099,298.15,101,1214.56,Gonzalez et al. (2011d),Density,Liquid,AAUVOo,CCc1ccccc1,ethylbenzene,AAQJlb,C1CCCCC1,cyclohexane,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
fBDYS,0.014,0.092,298.15,101,1215.71,Gonzalez et al. (2011d),Density,Liquid,AAUVOo,CCc1ccccc1,ethylbenzene,AAQJlb,C1CCCCC1,cyclohexane,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
fBDYS,0.015,0.081,298.15,101,1217.65,Gonzalez et al. (2011d),Density,Liquid,AAUVOo,CCc1ccccc1,ethylbenzene,AAQJlb,C1CCCCC1,cyclohexane,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
fBDYS,0.017,0.066,298.15,101,1220.23,Gonzalez et al. (2011d),Density,Liquid,AAUVOo,CCc1ccccc1,ethylbenzene,AAQJlb,C1CCCCC1,cyclohexane,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
fBDYS,0.019,0.063,298.15,101,1220.62,Gonzalez et al. (2011d),Density,Liquid,AAUVOo,CCc1ccccc1,ethylbenzene,AAQJlb,C1CCCCC1,cyclohexane,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
fBDYS,0.022,0.043,298.15,101,1224.24,Gonzalez et al. (2011d),Density,Liquid,AAUVOo,CCc1ccccc1,ethylbenzene,AAQJlb,C1CCCCC1,cyclohexane,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
fBDYS,0.023,0.022,298.15,101,1227.9,Gonzalez et al. (2011d),Density,Liquid,AAUVOo,CCc1ccccc1,ethylbenzene,AAQJlb,C1CCCCC1,cyclohexane,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
fBDYS,0.026,0.026,298.15,101,1226.61,Gonzalez et al. (2011d),Density,Liquid,AAUVOo,CCc1ccccc1,ethylbenzene,AAQJlb,C1CCCCC1,cyclohexane,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
fBDYS,0.027,0,298.15,101,1230.94,Gonzalez et al. (2011d),Density,Liquid,AAUVOo,CCc1ccccc1,ethylbenzene,AAQJlb,C1CCCCC1,cyclohexane,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
