setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium trifluoromethanesulfonate,Mole fraction of acetonitrile,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
BJxeX,298.15,0.0301,0.9323,100,844.2,Fatima et al. (2018b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAHueB,CC#N,acetonitrile,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
BJxeX,298.15,0.0687,0.8807,100,907.8,Fatima et al. (2018b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAHueB,CC#N,acetonitrile,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
BJxeX,298.15,0.1,0.8406,100,952.4,Fatima et al. (2018b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAHueB,CC#N,acetonitrile,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
BJxeX,298.15,0.1345,0.7959,100,995.4,Fatima et al. (2018b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAHueB,CC#N,acetonitrile,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
BJxeX,298.15,0.1613,0.7595,100,1024.5,Fatima et al. (2018b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAHueB,CC#N,acetonitrile,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
BJxeX,298.15,0.1948,0.7145,100,1056.5,Fatima et al. (2018b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAHueB,CC#N,acetonitrile,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
BJxeX,298.15,0.2336,0.6624,100,1088.2,Fatima et al. (2018b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAHueB,CC#N,acetonitrile,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
BJxeX,298.15,0.2747,0.6065,100,1116.2,Fatima et al. (2018b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAHueB,CC#N,acetonitrile,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
BJxeX,298.15,0.3079,0.5593,100,1135.4,Fatima et al. (2018b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAHueB,CC#N,acetonitrile,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
BJxeX,298.15,0.3344,0.5196,100,1148.8,Fatima et al. (2018b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAHueB,CC#N,acetonitrile,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
BJxeX,298.15,0.3634,0.476,100,1161.9,Fatima et al. (2018b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAHueB,CC#N,acetonitrile,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
BJxeX,298.15,0.3953,0.4282,100,1174.5,Fatima et al. (2018b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAHueB,CC#N,acetonitrile,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
BJxeX,298.15,0.4305,0.3754,100,1186.8,Fatima et al. (2018b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAHueB,CC#N,acetonitrile,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
BJxeX,298.15,0.4618,0.3267,100,1196.4,Fatima et al. (2018b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAHueB,CC#N,acetonitrile,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
BJxeX,298.15,0.496,0.2734,100,1206,Fatima et al. (2018b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAHueB,CC#N,acetonitrile,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
BJxeX,298.15,0.5316,0.2476,100,1215,Fatima et al. (2018b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAHueB,CC#N,acetonitrile,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
BJxeX,298.15,0.5682,0.2221,100,1223.5,Fatima et al. (2018b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAHueB,CC#N,acetonitrile,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
BJxeX,298.15,0.6098,0.1706,100,1232.4,Fatima et al. (2018b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAHueB,CC#N,acetonitrile,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
BJxeX,298.15,0.6369,0.1591,100,1237.9,Fatima et al. (2018b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAHueB,CC#N,acetonitrile,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
BJxeX,298.15,0.6778,0.1324,100,1245.8,Fatima et al. (2018b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAHueB,CC#N,acetonitrile,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
BJxeX,298.15,0.7035,0.1252,100,1250.4,Fatima et al. (2018b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAHueB,CC#N,acetonitrile,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
BJxeX,298.15,0.7318,0.1042,100,1255.2,Fatima et al. (2018b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAHueB,CC#N,acetonitrile,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
BJxeX,298.15,0.7659,0.0894,100,1260.4,Fatima et al. (2018b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAHueB,CC#N,acetonitrile,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
