setid,"Temperature, K","MolaLity of N,N,N-triheptyl-1-heptanaminium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
gDmTf,298.15,0.01303,101.325,777.94,Saha and Das (1997),Density,Liquid,AAHueB,CC#N,acetonitrile,ABqSGL,CCCCCCC[N+](CCCCCCC)(CCCCCCC)CCCCCCC.[Br-],"N,N,N-triheptyl-1-heptanaminium bromide",,,
gDmTf,298.15,0.02604,101.325,779,Saha and Das (1997),Density,Liquid,AAHueB,CC#N,acetonitrile,ABqSGL,CCCCCCC[N+](CCCCCCC)(CCCCCCC)CCCCCCC.[Br-],"N,N,N-triheptyl-1-heptanaminium bromide",,,
gDmTf,298.15,0.03264,101.325,779.53,Saha and Das (1997),Density,Liquid,AAHueB,CC#N,acetonitrile,ABqSGL,CCCCCCC[N+](CCCCCCC)(CCCCCCC)CCCCCCC.[Br-],"N,N,N-triheptyl-1-heptanaminium bromide",,,
gDmTf,298.15,0.03928,101.325,780.06,Saha and Das (1997),Density,Liquid,AAHueB,CC#N,acetonitrile,ABqSGL,CCCCCCC[N+](CCCCCCC)(CCCCCCC)CCCCCCC.[Br-],"N,N,N-triheptyl-1-heptanaminium bromide",,,
gDmTf,298.15,0.04571,101.325,780.57,Saha and Das (1997),Density,Liquid,AAHueB,CC#N,acetonitrile,ABqSGL,CCCCCCC[N+](CCCCCCC)(CCCCCCC)CCCCCCC.[Br-],"N,N,N-triheptyl-1-heptanaminium bromide",,,
gDmTf,298.15,0.05272,101.325,781.12,Saha and Das (1997),Density,Liquid,AAHueB,CC#N,acetonitrile,ABqSGL,CCCCCCC[N+](CCCCCCC)(CCCCCCC)CCCCCCC.[Br-],"N,N,N-triheptyl-1-heptanaminium bromide",,,
gDmTf,308.15,0.0129,101.325,766.7,Saha and Das (1997),Density,Liquid,AAHueB,CC#N,acetonitrile,ABqSGL,CCCCCCC[N+](CCCCCCC)(CCCCCCC)CCCCCCC.[Br-],"N,N,N-triheptyl-1-heptanaminium bromide",,,
gDmTf,308.15,0.02608,101.325,767.76,Saha and Das (1997),Density,Liquid,AAHueB,CC#N,acetonitrile,ABqSGL,CCCCCCC[N+](CCCCCCC)(CCCCCCC)CCCCCCC.[Br-],"N,N,N-triheptyl-1-heptanaminium bromide",,,
gDmTf,308.15,0.03273,101.325,768.29,Saha and Das (1997),Density,Liquid,AAHueB,CC#N,acetonitrile,ABqSGL,CCCCCCC[N+](CCCCCCC)(CCCCCCC)CCCCCCC.[Br-],"N,N,N-triheptyl-1-heptanaminium bromide",,,
gDmTf,308.15,0.03932,101.325,768.81,Saha and Das (1997),Density,Liquid,AAHueB,CC#N,acetonitrile,ABqSGL,CCCCCCC[N+](CCCCCCC)(CCCCCCC)CCCCCCC.[Br-],"N,N,N-triheptyl-1-heptanaminium bromide",,,
gDmTf,308.15,0.04582,101.325,769.32,Saha and Das (1997),Density,Liquid,AAHueB,CC#N,acetonitrile,ABqSGL,CCCCCCC[N+](CCCCCCC)(CCCCCCC)CCCCCCC.[Br-],"N,N,N-triheptyl-1-heptanaminium bromide",,,
gDmTf,308.15,0.05262,101.325,769.85,Saha and Das (1997),Density,Liquid,AAHueB,CC#N,acetonitrile,ABqSGL,CCCCCCC[N+](CCCCCCC)(CCCCCCC)CCCCCCC.[Br-],"N,N,N-triheptyl-1-heptanaminium bromide",,,
gDmTf,318.15,0.01286,101.325,756.04,Saha and Das (1997),Density,Liquid,AAHueB,CC#N,acetonitrile,ABqSGL,CCCCCCC[N+](CCCCCCC)(CCCCCCC)CCCCCCC.[Br-],"N,N,N-triheptyl-1-heptanaminium bromide",,,
gDmTf,318.15,0.0261,101.325,757.11,Saha and Das (1997),Density,Liquid,AAHueB,CC#N,acetonitrile,ABqSGL,CCCCCCC[N+](CCCCCCC)(CCCCCCC)CCCCCCC.[Br-],"N,N,N-triheptyl-1-heptanaminium bromide",,,
gDmTf,318.15,0.03274,101.325,757.64,Saha and Das (1997),Density,Liquid,AAHueB,CC#N,acetonitrile,ABqSGL,CCCCCCC[N+](CCCCCCC)(CCCCCCC)CCCCCCC.[Br-],"N,N,N-triheptyl-1-heptanaminium bromide",,,
gDmTf,318.15,0.03931,101.325,758.16,Saha and Das (1997),Density,Liquid,AAHueB,CC#N,acetonitrile,ABqSGL,CCCCCCC[N+](CCCCCCC)(CCCCCCC)CCCCCCC.[Br-],"N,N,N-triheptyl-1-heptanaminium bromide",,,
gDmTf,318.15,0.0458,101.325,758.67,Saha and Das (1997),Density,Liquid,AAHueB,CC#N,acetonitrile,ABqSGL,CCCCCCC[N+](CCCCCCC)(CCCCCCC)CCCCCCC.[Br-],"N,N,N-triheptyl-1-heptanaminium bromide",,,
gDmTf,318.15,0.05257,101.325,759.2,Saha and Das (1997),Density,Liquid,AAHueB,CC#N,acetonitrile,ABqSGL,CCCCCCC[N+](CCCCCCC)(CCCCCCC)CCCCCCC.[Br-],"N,N,N-triheptyl-1-heptanaminium bromide",,,
