setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium trifluoromethanesulfonate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
kmhSp,278.15,0.0505,101,930.38,Vercher et al. (2007),Density,Liquid,AAGIBL,CO,methanol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
kmhSp,278.15,0.1005,101,1018.16,Vercher et al. (2007),Density,Liquid,AAGIBL,CO,methanol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
kmhSp,278.15,0.1502,101,1084.09,Vercher et al. (2007),Density,Liquid,AAGIBL,CO,methanol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
kmhSp,278.15,0.1999,101,1135.25,Vercher et al. (2007),Density,Liquid,AAGIBL,CO,methanol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
kmhSp,278.15,0.3005,101,1210.8,Vercher et al. (2007),Density,Liquid,AAGIBL,CO,methanol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
kmhSp,278.15,0.4007,101,1262.7,Vercher et al. (2007),Density,Liquid,AAGIBL,CO,methanol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
kmhSp,278.15,0.4926,101,1298.4,Vercher et al. (2007),Density,Liquid,AAGIBL,CO,methanol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
kmhSp,278.15,0.6012,101,1330.4,Vercher et al. (2007),Density,Liquid,AAGIBL,CO,methanol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
kmhSp,278.15,0.6994,101,1353.2,Vercher et al. (2007),Density,Liquid,AAGIBL,CO,methanol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
kmhSp,278.15,0.7965,101,1371.5,Vercher et al. (2007),Density,Liquid,AAGIBL,CO,methanol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
