setid,"Temperature, K","MolaLity of tetrahexylammonium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
iPPjq,298.15,0.01277,101.325,777.9,Saha and Das (1997),Density,Liquid,AAHueB,CC#N,acetonitrile,ABfdDn,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetrahexylammonium bromide,,,
iPPjq,298.15,0.02603,101.325,778.96,Saha and Das (1997),Density,Liquid,AAHueB,CC#N,acetonitrile,ABfdDn,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetrahexylammonium bromide,,,
iPPjq,298.15,0.03261,101.325,779.48,Saha and Das (1997),Density,Liquid,AAHueB,CC#N,acetonitrile,ABfdDn,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetrahexylammonium bromide,,,
iPPjq,298.15,0.03923,101.325,780,Saha and Das (1997),Density,Liquid,AAHueB,CC#N,acetonitrile,ABfdDn,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetrahexylammonium bromide,,,
iPPjq,298.15,0.04585,101.325,780.52,Saha and Das (1997),Density,Liquid,AAHueB,CC#N,acetonitrile,ABfdDn,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetrahexylammonium bromide,,,
iPPjq,298.15,0.05237,101.325,781.02,Saha and Das (1997),Density,Liquid,AAHueB,CC#N,acetonitrile,ABfdDn,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetrahexylammonium bromide,,,
iPPjq,308.15,0.01279,101.325,766.67,Saha and Das (1997),Density,Liquid,AAHueB,CC#N,acetonitrile,ABfdDn,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetrahexylammonium bromide,,,
iPPjq,308.15,0.02607,101.325,767.72,Saha and Das (1997),Density,Liquid,AAHueB,CC#N,acetonitrile,ABfdDn,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetrahexylammonium bromide,,,
iPPjq,308.15,0.03259,101.325,768.23,Saha and Das (1997),Density,Liquid,AAHueB,CC#N,acetonitrile,ABfdDn,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetrahexylammonium bromide,,,
iPPjq,308.15,0.03929,101.325,768.75,Saha and Das (1997),Density,Liquid,AAHueB,CC#N,acetonitrile,ABfdDn,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetrahexylammonium bromide,,,
iPPjq,308.15,0.04578,101.325,769.25,Saha and Das (1997),Density,Liquid,AAHueB,CC#N,acetonitrile,ABfdDn,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetrahexylammonium bromide,,,
iPPjq,308.15,0.05232,101.325,769.75,Saha and Das (1997),Density,Liquid,AAHueB,CC#N,acetonitrile,ABfdDn,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetrahexylammonium bromide,,,
iPPjq,318.15,0.01281,101.325,756.01,Saha and Das (1997),Density,Liquid,AAHueB,CC#N,acetonitrile,ABfdDn,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetrahexylammonium bromide,,,
iPPjq,318.15,0.02613,101.325,757.06,Saha and Das (1997),Density,Liquid,AAHueB,CC#N,acetonitrile,ABfdDn,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetrahexylammonium bromide,,,
iPPjq,318.15,0.03253,101.325,757.56,Saha and Das (1997),Density,Liquid,AAHueB,CC#N,acetonitrile,ABfdDn,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetrahexylammonium bromide,,,
iPPjq,318.15,0.03926,101.325,758.08,Saha and Das (1997),Density,Liquid,AAHueB,CC#N,acetonitrile,ABfdDn,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetrahexylammonium bromide,,,
iPPjq,318.15,0.04575,101.325,758.58,Saha and Das (1997),Density,Liquid,AAHueB,CC#N,acetonitrile,ABfdDn,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetrahexylammonium bromide,,,
iPPjq,318.15,0.0523,101.325,759.08,Saha and Das (1997),Density,Liquid,AAHueB,CC#N,acetonitrile,ABfdDn,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetrahexylammonium bromide,,,
