setid,"MolaLity of propan-2-ol, mol/kg","Solvent: MolaLity of dodecyltrimethylammonium bromide, mol/kg","Pressure, kPa","Temperature, K","Specific density<SUP>*</SUP>, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
aOuzH,0.04134,0.1435,101,298,-0.494,De Lisi et al. (1990c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
aOuzH,0.05486,0.3202,101,298,-0.685,De Lisi et al. (1990c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
aOuzH,0.05542,0.1649,101,298,-0.667,De Lisi et al. (1990c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
aOuzH,0.05668,0.01224,101,298,-0.802,De Lisi et al. (1990c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
aOuzH,0.05937,0.4663,101,298,-0.756,De Lisi et al. (1990c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
aOuzH,0.05994,0.2179,101,298,-0.732,De Lisi et al. (1990c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
aOuzH,0.06195,0.2414,101,298,-0.754,De Lisi et al. (1990c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
aOuzH,0.0626,0.121,101,298,-0.739,De Lisi et al. (1990c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
aOuzH,0.06272,0.05897,101,298,-0.725,De Lisi et al. (1990c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
aOuzH,0.06359,0.02015,101,298,-0.729,De Lisi et al. (1990c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
