setid,"Solvent: MolaLity of 1-methyl-3-pentylimidazolium chloride, mol/kg","Temperature, K","MolaLity of 2-aminoacetic acid, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
IAhbM,0.01,288.15,0,101,999.8,Gaba et al. (2017c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,AADYJk,O,water
IAhbM,0.01,288.15,0.1009,101,1003.1,Gaba et al. (2017c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,AADYJk,O,water
IAhbM,0.01,288.15,0.2987,101,1009.3,Gaba et al. (2017c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,AADYJk,O,water
IAhbM,0.01,288.15,0.4951,101,1015.4,Gaba et al. (2017c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,AADYJk,O,water
IAhbM,0.01,288.15,0.6983,101,1021.4,Gaba et al. (2017c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,AADYJk,O,water
IAhbM,0.01,288.15,0.8896,101,1027,Gaba et al. (2017c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,AADYJk,O,water
IAhbM,0.01,288.15,1.0005,101,1030.1,Gaba et al. (2017c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,AADYJk,O,water
IAhbM,0.01,298.15,0,101,997.8,Gaba et al. (2017c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,AADYJk,O,water
IAhbM,0.01,298.15,0.1009,101,1000.9,Gaba et al. (2017c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,AADYJk,O,water
IAhbM,0.01,298.15,0.2987,101,1007,Gaba et al. (2017c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,AADYJk,O,water
IAhbM,0.01,298.15,0.4951,101,1012.9,Gaba et al. (2017c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,AADYJk,O,water
IAhbM,0.01,298.15,0.6983,101,1018.8,Gaba et al. (2017c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,AADYJk,O,water
IAhbM,0.01,298.15,0.8896,101,1024.3,Gaba et al. (2017c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,AADYJk,O,water
IAhbM,0.01,298.15,1.0005,101,1027.4,Gaba et al. (2017c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,AADYJk,O,water
IAhbM,0.01,308.15,0,101,994.7,Gaba et al. (2017c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,AADYJk,O,water
IAhbM,0.01,308.15,0.1009,101,997.8,Gaba et al. (2017c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,AADYJk,O,water
IAhbM,0.01,308.15,0.2987,101,1003.7,Gaba et al. (2017c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,AADYJk,O,water
