setid,"Mole fraction of 1,3-dimethylimidazolium methylsulfate","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
bRZIv,0.0206,298.15,101,1044.3,Domanska et al. (2006b),Density,Liquid,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
bRZIv,0.0453,298.15,101,1089.7,Domanska et al. (2006b),Density,Liquid,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
bRZIv,0.0624,298.15,101,1114.5,Domanska et al. (2006b),Density,Liquid,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
bRZIv,0.0861,298.15,101,1114.3,Domanska et al. (2006b),Density,Liquid,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
bRZIv,0.1494,298.15,101,1196.9,Domanska et al. (2006b),Density,Liquid,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
bRZIv,0.2277,298.15,101,1237.2,Domanska et al. (2006b),Density,Liquid,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
bRZIv,0.3498,298.15,101,1272.5,Domanska et al. (2006b),Density,Liquid,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
bRZIv,0.4234,298.15,101,1290.3,Domanska et al. (2006b),Density,Liquid,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
bRZIv,0.5092,298.15,101,1297.2,Domanska et al. (2006b),Density,Liquid,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
bRZIv,0.5371,298.15,101,1300.4,Domanska et al. (2006b),Density,Liquid,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
bRZIv,0.6414,298.15,101,1309.9,Domanska et al. (2006b),Density,Liquid,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
bRZIv,0.7295,298.15,101,1316.1,Domanska et al. (2006b),Density,Liquid,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
bRZIv,0.8396,298.15,101,1322.1,Domanska et al. (2006b),Density,Liquid,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
bRZIv,0.9376,298.15,101,1326.3,Domanska et al. (2006b),Density,Liquid,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
