setid,"MolaLity of 1-butyl-3-methylimidazolium chloride, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
swRxc,0.0497,298.15,101.3,997.7,Kaur and Patyar (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water,,,
swRxc,0.0497,308.15,101.3,994.6,Kaur and Patyar (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water,,,
swRxc,0.0497,310.15,101.3,993.9,Kaur and Patyar (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water,,,
swRxc,0.0497,318.15,101.3,990.8,Kaur and Patyar (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water,,,
swRxc,0.0509,298.15,101.3,997.6,Kaur and Patyar (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water,,,
swRxc,0.0509,298.15,101.3,997.6,Kaur and Patyar (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water,,,
swRxc,0.0509,308.15,101.3,994.6,Kaur and Patyar (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water,,,
swRxc,0.0509,308.15,101.3,994.6,Kaur and Patyar (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water,,,
swRxc,0.0509,310.15,101.3,993.8,Kaur and Patyar (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water,,,
swRxc,0.0509,310.15,101.3,993.9,Kaur and Patyar (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water,,,
