setid,"Temperature, K",Mole fraction of triethylammonium hydrogen sulfate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
jLDDq,298.15,0,101,1095.37,Govinda et al. (2013b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,
jLDDq,298.15,0.011,101,1096.26,Govinda et al. (2013b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,
jLDDq,298.15,0.0461,101,1099.23,Govinda et al. (2013b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,
jLDDq,298.15,0.0844,101,1102.23,Govinda et al. (2013b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,
jLDDq,298.15,0.1228,101,1105.12,Govinda et al. (2013b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,
jLDDq,298.15,0.1731,101,1108.52,Govinda et al. (2013b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,
jLDDq,298.15,0.2188,101,1111.48,Govinda et al. (2013b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,
jLDDq,298.15,0.2624,101,1114.01,Govinda et al. (2013b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,
jLDDq,298.15,0.347,101,1118.64,Govinda et al. (2013b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,
jLDDq,298.15,0.4202,101,1122.25,Govinda et al. (2013b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,
jLDDq,298.15,0.5036,101,1126,Govinda et al. (2013b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,
jLDDq,298.15,0.5996,101,1129.88,Govinda et al. (2013b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,
jLDDq,298.15,0.6721,101,1132.57,Govinda et al. (2013b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,
jLDDq,298.15,0.7527,101,1135.35,Govinda et al. (2013b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,
jLDDq,298.15,0.801,101,1136.96,Govinda et al. (2013b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,
jLDDq,298.15,0.8444,101,1138.32,Govinda et al. (2013b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,
