setid,"Temperature, K","MolaLity of choline butanoate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ybFGD,293.15,0.0969,101,999.7,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,293.15,0.2061,101,1001.4,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,293.15,0.3247,101,1003.2,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,293.15,0.3919,101,1004.2,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,293.15,0.5136,101,1006,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,293.15,0.5577,101,1006.6,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,293.15,0.6881,101,1008.4,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,293.15,0.7908,101,1009.9,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,293.15,0.8425,101,1010.6,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,293.15,0.9787,101,1012.4,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,293.15,1.0886,101,1013.8,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,293.15,1.1453,101,1014.6,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
