setid,"Solvent: Weight fraction of 2,2,2-trifluoroethanol","Pressure, kPa","MolaRity of tetraethylammonium tetrafluoroborate, mol/dm3","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
JFhop,0,100,0.00013,298.2,1008.7,Takamuku et al. (2020),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",AADYJk,O,water
JFhop,0.1,100,0.00013,298.2,1126.3,Takamuku et al. (2020),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",AADYJk,O,water
JFhop,0.2,100,0.00013,298.2,1197.3,Takamuku et al. (2020),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",AADYJk,O,water
JFhop,0.3,100,0.00013,298.2,1241.1,Takamuku et al. (2020),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",AADYJk,O,water
JFhop,0.4,100,0.00013,298.2,1288.2,Takamuku et al. (2020),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",AADYJk,O,water
JFhop,0.5,100,0.00013,298.2,1304.2,Takamuku et al. (2020),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",AADYJk,O,water
JFhop,0.6,100,0.00013,298.2,1320.4,Takamuku et al. (2020),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",AADYJk,O,water
