setid,Mole fraction of methyl ethanoate,Mole fraction of methanol,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
IfXOi,0.0073,0.1024,298.15,101,1313.39,Andreatta et al. (2009b),Density,Liquid,AAGIBL,CO,methanol,AAOMHN,COC(C)=O,methyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide
IfXOi,0.0415,0.479,298.15,101,1262.64,Andreatta et al. (2009b),Density,Liquid,AAGIBL,CO,methanol,AAOMHN,COC(C)=O,methyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide
IfXOi,0.0423,0.3866,298.15,101,1278.84,Andreatta et al. (2009b),Density,Liquid,AAGIBL,CO,methanol,AAOMHN,COC(C)=O,methyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide
IfXOi,0.044,0.8604,298.15,101,1050.12,Andreatta et al. (2009b),Density,Liquid,AAGIBL,CO,methanol,AAOMHN,COC(C)=O,methyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide
IfXOi,0.0441,0.1917,298.15,101,1302.2,Andreatta et al. (2009b),Density,Liquid,AAGIBL,CO,methanol,AAOMHN,COC(C)=O,methyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide
IfXOi,0.0506,0.5695,298.15,101,1238.17,Andreatta et al. (2009b),Density,Liquid,AAGIBL,CO,methanol,AAOMHN,COC(C)=O,methyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide
IfXOi,0.0531,0.6662,298.15,101,1201.96,Andreatta et al. (2009b),Density,Liquid,AAGIBL,CO,methanol,AAOMHN,COC(C)=O,methyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide
IfXOi,0.0544,0.7542,298.15,101,1150.75,Andreatta et al. (2009b),Density,Liquid,AAGIBL,CO,methanol,AAOMHN,COC(C)=O,methyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide
IfXOi,0.0864,0.2731,298.15,101,1287.63,Andreatta et al. (2009b),Density,Liquid,AAGIBL,CO,methanol,AAOMHN,COC(C)=O,methyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide
IfXOi,0.0912,0.3668,298.15,101,1272.89,Andreatta et al. (2009b),Density,Liquid,AAGIBL,CO,methanol,AAOMHN,COC(C)=O,methyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide
IfXOi,0.0972,0.8126,298.15,101,1043.33,Andreatta et al. (2009b),Density,Liquid,AAGIBL,CO,methanol,AAOMHN,COC(C)=O,methyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide
IfXOi,0.0981,0.093,298.15,101,1304.77,Andreatta et al. (2009b),Density,Liquid,AAGIBL,CO,methanol,AAOMHN,COC(C)=O,methyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide
IfXOi,0.1059,0.5364,298.15,101,1229.58,Andreatta et al. (2009b),Density,Liquid,AAGIBL,CO,methanol,AAOMHN,COC(C)=O,methyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide
IfXOi,0.1108,0.4443,298.15,101,1253.04,Andreatta et al. (2009b),Density,Liquid,AAGIBL,CO,methanol,AAOMHN,COC(C)=O,methyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide
