setid,"MolaLity of N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
kOQTS,0.0086,298.15,100,778.032,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
kOQTS,0.0086,303.15,100,772.604,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
kOQTS,0.0086,308.15,100,767.15,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
kOQTS,0.0086,313.15,100,761.661,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
kOQTS,0.0086,318.15,100,756.135,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
kOQTS,0.0159,298.15,100,779.27,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
kOQTS,0.0159,303.15,100,773.845,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
kOQTS,0.0159,308.15,100,768.392,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
kOQTS,0.0159,313.15,100,762.906,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
kOQTS,0.0159,318.15,100,757.382,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
