setid,"Temperature, K",Mole fraction of 1-methylimidazolium acetate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
NQPII,293.15,0.05,101,841.99,Qian et al. (2012),Density,Liquid,AAGIBL,CO,methanol,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
NQPII,293.15,0.1008,101,880.4,Qian et al. (2012),Density,Liquid,AAGIBL,CO,methanol,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
NQPII,293.15,0.1994,101,936.43,Qian et al. (2012),Density,Liquid,AAGIBL,CO,methanol,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
NQPII,293.15,0.2997,101,974.67,Qian et al. (2012),Density,Liquid,AAGIBL,CO,methanol,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
NQPII,293.15,0.4,101,1002.67,Qian et al. (2012),Density,Liquid,AAGIBL,CO,methanol,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
NQPII,293.15,0.4979,101,1023.14,Qian et al. (2012),Density,Liquid,AAGIBL,CO,methanol,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
NQPII,293.15,0.651,101,1046.77,Qian et al. (2012),Density,Liquid,AAGIBL,CO,methanol,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
NQPII,293.15,0.8011,101,1063.57,Qian et al. (2012),Density,Liquid,AAGIBL,CO,methanol,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
NQPII,293.15,0.9012,101,1072.29,Qian et al. (2012),Density,Liquid,AAGIBL,CO,methanol,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
NQPII,298.15,0.05,101,837.15,Qian et al. (2012),Density,Liquid,AAGIBL,CO,methanol,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
NQPII,298.15,0.1008,101,875.53,Qian et al. (2012),Density,Liquid,AAGIBL,CO,methanol,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
NQPII,298.15,0.1994,101,931.59,Qian et al. (2012),Density,Liquid,AAGIBL,CO,methanol,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
NQPII,298.15,0.2997,101,969.87,Qian et al. (2012),Density,Liquid,AAGIBL,CO,methanol,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
NQPII,298.15,0.4,101,997.94,Qian et al. (2012),Density,Liquid,AAGIBL,CO,methanol,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
NQPII,298.15,0.4979,101,1018.47,Qian et al. (2012),Density,Liquid,AAGIBL,CO,methanol,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
NQPII,298.15,0.651,101,1042.19,Qian et al. (2012),Density,Liquid,AAGIBL,CO,methanol,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
NQPII,298.15,0.8011,101,1059.06,Qian et al. (2012),Density,Liquid,AAGIBL,CO,methanol,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
NQPII,298.15,0.9012,101,1067.83,Qian et al. (2012),Density,Liquid,AAGIBL,CO,methanol,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
