setid,"Temperature, K",Mole fraction of 1-(4-methoxybutyl)-3-methylimidazolium L-threoninate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ZTsIu,288.15,0,100,1105.2,Wang et al. (2022k),Density,Liquid,ABDNsG,COCCCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium L-threoninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
ZTsIu,288.15,0.0999,100,1132.7,Wang et al. (2022k),Density,Liquid,ABDNsG,COCCCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium L-threoninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
ZTsIu,288.15,0.2013,100,1139.4,Wang et al. (2022k),Density,Liquid,ABDNsG,COCCCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium L-threoninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
ZTsIu,288.15,0.3006,100,1140.7,Wang et al. (2022k),Density,Liquid,ABDNsG,COCCCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium L-threoninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
ZTsIu,288.15,0.3966,100,1141.7,Wang et al. (2022k),Density,Liquid,ABDNsG,COCCCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium L-threoninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
ZTsIu,288.15,0.5,100,1143.9,Wang et al. (2022k),Density,Liquid,ABDNsG,COCCCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium L-threoninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
ZTsIu,288.15,0.6011,100,1146.4,Wang et al. (2022k),Density,Liquid,ABDNsG,COCCCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium L-threoninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
ZTsIu,288.15,0.7007,100,1148.8,Wang et al. (2022k),Density,Liquid,ABDNsG,COCCCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium L-threoninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
ZTsIu,288.15,0.8001,100,1150.5,Wang et al. (2022k),Density,Liquid,ABDNsG,COCCCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium L-threoninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
ZTsIu,288.15,0.8946,100,1151.8,Wang et al. (2022k),Density,Liquid,ABDNsG,COCCCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium L-threoninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
ZTsIu,288.15,1,100,1153.8,Wang et al. (2022k),Density,Liquid,ABDNsG,COCCCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium L-threoninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
ZTsIu,293.15,0,100,1100.3,Wang et al. (2022k),Density,Liquid,ABDNsG,COCCCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium L-threoninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
ZTsIu,293.15,0.0999,100,1128.2,Wang et al. (2022k),Density,Liquid,ABDNsG,COCCCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium L-threoninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
ZTsIu,293.15,0.2013,100,1135.2,Wang et al. (2022k),Density,Liquid,ABDNsG,COCCCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium L-threoninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
ZTsIu,293.15,0.3006,100,1136.7,Wang et al. (2022k),Density,Liquid,ABDNsG,COCCCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium L-threoninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
ZTsIu,293.15,0.3966,100,1138,Wang et al. (2022k),Density,Liquid,ABDNsG,COCCCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium L-threoninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
ZTsIu,293.15,0.5,100,1140.2,Wang et al. (2022k),Density,Liquid,ABDNsG,COCCCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium L-threoninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
ZTsIu,293.15,0.6011,100,1142.9,Wang et al. (2022k),Density,Liquid,ABDNsG,COCCCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium L-threoninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
ZTsIu,293.15,0.7007,100,1145.3,Wang et al. (2022k),Density,Liquid,ABDNsG,COCCCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium L-threoninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
ZTsIu,293.15,0.8001,100,1147,Wang et al. (2022k),Density,Liquid,ABDNsG,COCCCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium L-threoninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
ZTsIu,293.15,0.8946,100,1148.3,Wang et al. (2022k),Density,Liquid,ABDNsG,COCCCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium L-threoninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
ZTsIu,293.15,1,100,1150.3,Wang et al. (2022k),Density,Liquid,ABDNsG,COCCCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium L-threoninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
ZTsIu,298.15,0,100,1095.2,Wang et al. (2022k),Density,Liquid,ABDNsG,COCCCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium L-threoninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
ZTsIu,298.15,0.0999,100,1123.8,Wang et al. (2022k),Density,Liquid,ABDNsG,COCCCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium L-threoninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
ZTsIu,298.15,0.2013,100,1130.9,Wang et al. (2022k),Density,Liquid,ABDNsG,COCCCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium L-threoninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
ZTsIu,298.15,0.3006,100,1132.6,Wang et al. (2022k),Density,Liquid,ABDNsG,COCCCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium L-threoninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
ZTsIu,298.15,0.3966,100,1134.1,Wang et al. (2022k),Density,Liquid,ABDNsG,COCCCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium L-threoninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
ZTsIu,298.15,0.5,100,1136.4,Wang et al. (2022k),Density,Liquid,ABDNsG,COCCCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium L-threoninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
ZTsIu,298.15,0.6011,100,1139.2,Wang et al. (2022k),Density,Liquid,ABDNsG,COCCCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium L-threoninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
ZTsIu,298.15,0.7007,100,1141.7,Wang et al. (2022k),Density,Liquid,ABDNsG,COCCCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium L-threoninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
ZTsIu,298.15,0.8001,100,1143.5,Wang et al. (2022k),Density,Liquid,ABDNsG,COCCCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium L-threoninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
ZTsIu,298.15,0.8946,100,1144.8,Wang et al. (2022k),Density,Liquid,ABDNsG,COCCCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium L-threoninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
ZTsIu,298.15,1,100,1146.9,Wang et al. (2022k),Density,Liquid,ABDNsG,COCCCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium L-threoninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
ZTsIu,303.15,0,100,1090.2,Wang et al. (2022k),Density,Liquid,ABDNsG,COCCCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium L-threoninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
