setid,"Temperature, K",Weight fraction of 1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
RBnAL,298.15,0.3015,101,1125,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,298.15,0.3416,101,1148.3,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,298.15,0.38,101,1170.6,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,298.15,0.3988,101,1181.5,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,298.15,0.4189,101,1193.2,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,298.15,0.4591,101,1216.6,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,298.15,0.4793,101,1228.3,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,298.15,0.4997,101,1240.1,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,298.15,0.5405,101,1263.8,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,298.15,0.5611,101,1275.8,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,298.15,0.5811,101,1287.4,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,298.15,0.5997,101,1298.2,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,298.15,0.6415,101,1322.5,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,298.15,0.6592,101,1332.8,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,298.15,0.6789,101,1344.2,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,298.15,0.7,101,1356.5,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,298.15,0.7217,101,1369.1,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
