setid,"Temperature, K","MolaLity of tetrapentylammonium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
CBgof,298.15,0.01272,101.325,777.89,Saha and Das (1997),Density,Liquid,AAHueB,CC#N,acetonitrile,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,,,
CBgof,298.15,0.02618,101.325,778.96,Saha and Das (1997),Density,Liquid,AAHueB,CC#N,acetonitrile,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,,,
CBgof,298.15,0.03239,101.325,779.45,Saha and Das (1997),Density,Liquid,AAHueB,CC#N,acetonitrile,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,,,
CBgof,298.15,0.03904,101.325,779.97,Saha and Das (1997),Density,Liquid,AAHueB,CC#N,acetonitrile,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,,,
CBgof,298.15,0.04572,101.325,780.49,Saha and Das (1997),Density,Liquid,AAHueB,CC#N,acetonitrile,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,,,
CBgof,298.15,0.0522,101.325,780.99,Saha and Das (1997),Density,Liquid,AAHueB,CC#N,acetonitrile,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,,,
CBgof,308.15,0.01265,101.325,766.64,Saha and Das (1997),Density,Liquid,AAHueB,CC#N,acetonitrile,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,,,
CBgof,308.15,0.02615,101.325,767.69,Saha and Das (1997),Density,Liquid,AAHueB,CC#N,acetonitrile,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,,,
CBgof,308.15,0.03239,101.325,768.17,Saha and Das (1997),Density,Liquid,AAHueB,CC#N,acetonitrile,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,,,
CBgof,308.15,0.03894,101.325,768.67,Saha and Das (1997),Density,Liquid,AAHueB,CC#N,acetonitrile,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,,,
CBgof,308.15,0.04567,101.325,769.18,Saha and Das (1997),Density,Liquid,AAHueB,CC#N,acetonitrile,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,,,
CBgof,308.15,0.05203,101.325,769.66,Saha and Das (1997),Density,Liquid,AAHueB,CC#N,acetonitrile,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,,,
CBgof,318.15,0.0126,101.325,755.97,Saha and Das (1997),Density,Liquid,AAHueB,CC#N,acetonitrile,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,,,
CBgof,318.15,0.0262,101.325,757.02,Saha and Das (1997),Density,Liquid,AAHueB,CC#N,acetonitrile,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,,,
CBgof,318.15,0.03235,101.325,757.49,Saha and Das (1997),Density,Liquid,AAHueB,CC#N,acetonitrile,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,,,
CBgof,318.15,0.03896,101.325,757.99,Saha and Das (1997),Density,Liquid,AAHueB,CC#N,acetonitrile,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,,,
CBgof,318.15,0.04558,101.325,758.49,Saha and Das (1997),Density,Liquid,AAHueB,CC#N,acetonitrile,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,,,
CBgof,318.15,0.05187,101.325,758.96,Saha and Das (1997),Density,Liquid,AAHueB,CC#N,acetonitrile,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,,,
