setid,"Temperature, K","MolaLity of 1-ethyl-3-methyl-1H-imidazolium 1,1,2,2-tetrafluoroethane-1-sulfonate, mol/kg","Pressure, kPa","Specific density<SUP>*</SUP>, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
aBPPC,288.15,0.05536,100,4.962,Vatascin and Dohnal (2018),Density,Liquid,AADYJk,O,water,ABEKef,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)F,"1-ethyl-3-methyl-1H-imidazolium 1,1,2,2-tetrafluoroethane-1-sulfonate",,,
aBPPC,288.15,0.06627,100,5.936,Vatascin and Dohnal (2018),Density,Liquid,AADYJk,O,water,ABEKef,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)F,"1-ethyl-3-methyl-1H-imidazolium 1,1,2,2-tetrafluoroethane-1-sulfonate",,,
aBPPC,288.15,0.07897,100,7.05,Vatascin and Dohnal (2018),Density,Liquid,AADYJk,O,water,ABEKef,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)F,"1-ethyl-3-methyl-1H-imidazolium 1,1,2,2-tetrafluoroethane-1-sulfonate",,,
aBPPC,288.15,0.09851,100,8.766,Vatascin and Dohnal (2018),Density,Liquid,AADYJk,O,water,ABEKef,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)F,"1-ethyl-3-methyl-1H-imidazolium 1,1,2,2-tetrafluoroethane-1-sulfonate",,,
aBPPC,288.15,0.1219,100,10.801,Vatascin and Dohnal (2018),Density,Liquid,AADYJk,O,water,ABEKef,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)F,"1-ethyl-3-methyl-1H-imidazolium 1,1,2,2-tetrafluoroethane-1-sulfonate",,,
aBPPC,288.15,0.1428,100,12.611,Vatascin and Dohnal (2018),Density,Liquid,AADYJk,O,water,ABEKef,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)F,"1-ethyl-3-methyl-1H-imidazolium 1,1,2,2-tetrafluoroethane-1-sulfonate",,,
aBPPC,293.15,0.05536,100,4.916,Vatascin and Dohnal (2018),Density,Liquid,AADYJk,O,water,ABEKef,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)F,"1-ethyl-3-methyl-1H-imidazolium 1,1,2,2-tetrafluoroethane-1-sulfonate",,,
aBPPC,293.15,0.06627,100,5.88,Vatascin and Dohnal (2018),Density,Liquid,AADYJk,O,water,ABEKef,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)F,"1-ethyl-3-methyl-1H-imidazolium 1,1,2,2-tetrafluoroethane-1-sulfonate",,,
aBPPC,293.15,0.07897,100,6.974,Vatascin and Dohnal (2018),Density,Liquid,AADYJk,O,water,ABEKef,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)F,"1-ethyl-3-methyl-1H-imidazolium 1,1,2,2-tetrafluoroethane-1-sulfonate",,,
aBPPC,293.15,0.09851,100,8.679,Vatascin and Dohnal (2018),Density,Liquid,AADYJk,O,water,ABEKef,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)F,"1-ethyl-3-methyl-1H-imidazolium 1,1,2,2-tetrafluoroethane-1-sulfonate",,,
aBPPC,293.15,0.1219,100,10.692,Vatascin and Dohnal (2018),Density,Liquid,AADYJk,O,water,ABEKef,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)F,"1-ethyl-3-methyl-1H-imidazolium 1,1,2,2-tetrafluoroethane-1-sulfonate",,,
aBPPC,293.15,0.1428,100,12.475,Vatascin and Dohnal (2018),Density,Liquid,AADYJk,O,water,ABEKef,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)F,"1-ethyl-3-methyl-1H-imidazolium 1,1,2,2-tetrafluoroethane-1-sulfonate",,,
aBPPC,298.15,0.05536,100,4.867,Vatascin and Dohnal (2018),Density,Liquid,AADYJk,O,water,ABEKef,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)F,"1-ethyl-3-methyl-1H-imidazolium 1,1,2,2-tetrafluoroethane-1-sulfonate",,,
aBPPC,298.15,0.06627,100,5.822,Vatascin and Dohnal (2018),Density,Liquid,AADYJk,O,water,ABEKef,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)F,"1-ethyl-3-methyl-1H-imidazolium 1,1,2,2-tetrafluoroethane-1-sulfonate",,,
aBPPC,298.15,0.07897,100,6.902,Vatascin and Dohnal (2018),Density,Liquid,AADYJk,O,water,ABEKef,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)F,"1-ethyl-3-methyl-1H-imidazolium 1,1,2,2-tetrafluoroethane-1-sulfonate",,,
aBPPC,298.15,0.09851,100,8.593,Vatascin and Dohnal (2018),Density,Liquid,AADYJk,O,water,ABEKef,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)F,"1-ethyl-3-methyl-1H-imidazolium 1,1,2,2-tetrafluoroethane-1-sulfonate",,,
aBPPC,298.15,0.1219,100,10.583,Vatascin and Dohnal (2018),Density,Liquid,AADYJk,O,water,ABEKef,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)F,"1-ethyl-3-methyl-1H-imidazolium 1,1,2,2-tetrafluoroethane-1-sulfonate",,,
aBPPC,298.15,0.1428,100,12.348,Vatascin and Dohnal (2018),Density,Liquid,AADYJk,O,water,ABEKef,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)F,"1-ethyl-3-methyl-1H-imidazolium 1,1,2,2-tetrafluoroethane-1-sulfonate",,,
aBPPC,303.15,0.05536,100,4.822,Vatascin and Dohnal (2018),Density,Liquid,AADYJk,O,water,ABEKef,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)F,"1-ethyl-3-methyl-1H-imidazolium 1,1,2,2-tetrafluoroethane-1-sulfonate",,,
aBPPC,303.15,0.06627,100,5.766,Vatascin and Dohnal (2018),Density,Liquid,AADYJk,O,water,ABEKef,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)F,"1-ethyl-3-methyl-1H-imidazolium 1,1,2,2-tetrafluoroethane-1-sulfonate",,,
aBPPC,303.15,0.07897,100,6.84,Vatascin and Dohnal (2018),Density,Liquid,AADYJk,O,water,ABEKef,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)F,"1-ethyl-3-methyl-1H-imidazolium 1,1,2,2-tetrafluoroethane-1-sulfonate",,,
aBPPC,303.15,0.09851,100,8.51,Vatascin and Dohnal (2018),Density,Liquid,AADYJk,O,water,ABEKef,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)F,"1-ethyl-3-methyl-1H-imidazolium 1,1,2,2-tetrafluoroethane-1-sulfonate",,,
aBPPC,303.15,0.1219,100,10.48,Vatascin and Dohnal (2018),Density,Liquid,AADYJk,O,water,ABEKef,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)F,"1-ethyl-3-methyl-1H-imidazolium 1,1,2,2-tetrafluoroethane-1-sulfonate",,,
aBPPC,303.15,0.1428,100,12.227,Vatascin and Dohnal (2018),Density,Liquid,AADYJk,O,water,ABEKef,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)F,"1-ethyl-3-methyl-1H-imidazolium 1,1,2,2-tetrafluoroethane-1-sulfonate",,,
aBPPC,308.15,0.05536,100,4.779,Vatascin and Dohnal (2018),Density,Liquid,AADYJk,O,water,ABEKef,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)F,"1-ethyl-3-methyl-1H-imidazolium 1,1,2,2-tetrafluoroethane-1-sulfonate",,,
aBPPC,308.15,0.06627,100,5.716,Vatascin and Dohnal (2018),Density,Liquid,AADYJk,O,water,ABEKef,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)F,"1-ethyl-3-methyl-1H-imidazolium 1,1,2,2-tetrafluoroethane-1-sulfonate",,,
aBPPC,308.15,0.07897,100,6.777,Vatascin and Dohnal (2018),Density,Liquid,AADYJk,O,water,ABEKef,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)F,"1-ethyl-3-methyl-1H-imidazolium 1,1,2,2-tetrafluoroethane-1-sulfonate",,,
aBPPC,308.15,0.09851,100,8.433,Vatascin and Dohnal (2018),Density,Liquid,AADYJk,O,water,ABEKef,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)F,"1-ethyl-3-methyl-1H-imidazolium 1,1,2,2-tetrafluoroethane-1-sulfonate",,,
aBPPC,308.15,0.1219,100,10.384,Vatascin and Dohnal (2018),Density,Liquid,AADYJk,O,water,ABEKef,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)F,"1-ethyl-3-methyl-1H-imidazolium 1,1,2,2-tetrafluoroethane-1-sulfonate",,,
aBPPC,308.15,0.1428,100,12.117,Vatascin and Dohnal (2018),Density,Liquid,AADYJk,O,water,ABEKef,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)F,"1-ethyl-3-methyl-1H-imidazolium 1,1,2,2-tetrafluoroethane-1-sulfonate",,,
aBPPC,313.15,0.05536,100,4.736,Vatascin and Dohnal (2018),Density,Liquid,AADYJk,O,water,ABEKef,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)F,"1-ethyl-3-methyl-1H-imidazolium 1,1,2,2-tetrafluoroethane-1-sulfonate",,,
aBPPC,313.15,0.06627,100,5.665,Vatascin and Dohnal (2018),Density,Liquid,AADYJk,O,water,ABEKef,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)F,"1-ethyl-3-methyl-1H-imidazolium 1,1,2,2-tetrafluoroethane-1-sulfonate",,,
aBPPC,313.15,0.07897,100,6.717,Vatascin and Dohnal (2018),Density,Liquid,AADYJk,O,water,ABEKef,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)F,"1-ethyl-3-methyl-1H-imidazolium 1,1,2,2-tetrafluoroethane-1-sulfonate",,,
aBPPC,313.15,0.09851,100,8.357,Vatascin and Dohnal (2018),Density,Liquid,AADYJk,O,water,ABEKef,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)F,"1-ethyl-3-methyl-1H-imidazolium 1,1,2,2-tetrafluoroethane-1-sulfonate",,,
aBPPC,313.15,0.1219,100,10.291,Vatascin and Dohnal (2018),Density,Liquid,AADYJk,O,water,ABEKef,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)F,"1-ethyl-3-methyl-1H-imidazolium 1,1,2,2-tetrafluoroethane-1-sulfonate",,,
aBPPC,313.15,0.1428,100,12.005,Vatascin and Dohnal (2018),Density,Liquid,AADYJk,O,water,ABEKef,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)F,"1-ethyl-3-methyl-1H-imidazolium 1,1,2,2-tetrafluoroethane-1-sulfonate",,,
aBPPC,318.15,0.05536,100,4.698,Vatascin and Dohnal (2018),Density,Liquid,AADYJk,O,water,ABEKef,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)F,"1-ethyl-3-methyl-1H-imidazolium 1,1,2,2-tetrafluoroethane-1-sulfonate",,,
