setid,"Temperature, K","MolaLity of N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
HzKTc,298.15,0,100,936.274,Marcinkowski et al. (2018),Density,Liquid,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
HzKTc,298.15,0.0107,100,937.715,Marcinkowski et al. (2018),Density,Liquid,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
HzKTc,298.15,0.0156,100,938.368,Marcinkowski et al. (2018),Density,Liquid,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
HzKTc,298.15,0.0238,100,939.453,Marcinkowski et al. (2018),Density,Liquid,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
HzKTc,298.15,0.0366,100,941.132,Marcinkowski et al. (2018),Density,Liquid,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
HzKTc,298.15,0.0514,100,943.042,Marcinkowski et al. (2018),Density,Liquid,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
HzKTc,298.15,0.0685,100,945.22,Marcinkowski et al. (2018),Density,Liquid,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
HzKTc,298.15,0.0838,100,947.142,Marcinkowski et al. (2018),Density,Liquid,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
HzKTc,298.15,0.1081,100,950.162,Marcinkowski et al. (2018),Density,Liquid,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
HzKTc,298.15,0.1302,100,952.852,Marcinkowski et al. (2018),Density,Liquid,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
HzKTc,298.15,0.1661,100,957.114,Marcinkowski et al. (2018),Density,Liquid,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
HzKTc,303.15,0,100,931.664,Marcinkowski et al. (2018),Density,Liquid,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
HzKTc,303.15,0.0107,100,933.108,Marcinkowski et al. (2018),Density,Liquid,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
HzKTc,303.15,0.0156,100,933.765,Marcinkowski et al. (2018),Density,Liquid,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
HzKTc,303.15,0.0238,100,934.854,Marcinkowski et al. (2018),Density,Liquid,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
HzKTc,303.15,0.0366,100,936.54,Marcinkowski et al. (2018),Density,Liquid,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
HzKTc,303.15,0.0514,100,938.451,Marcinkowski et al. (2018),Density,Liquid,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
HzKTc,303.15,0.0685,100,940.638,Marcinkowski et al. (2018),Density,Liquid,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
HzKTc,303.15,0.0838,100,942.553,Marcinkowski et al. (2018),Density,Liquid,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
HzKTc,303.15,0.1081,100,945.58,Marcinkowski et al. (2018),Density,Liquid,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
HzKTc,303.15,0.1302,100,948.272,Marcinkowski et al. (2018),Density,Liquid,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
HzKTc,303.15,0.1661,100,952.533,Marcinkowski et al. (2018),Density,Liquid,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
HzKTc,308.15,0,100,927.044,Marcinkowski et al. (2018),Density,Liquid,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
HzKTc,308.15,0.0107,100,928.492,Marcinkowski et al. (2018),Density,Liquid,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
HzKTc,308.15,0.0156,100,929.148,Marcinkowski et al. (2018),Density,Liquid,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
HzKTc,308.15,0.0238,100,930.24,Marcinkowski et al. (2018),Density,Liquid,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
HzKTc,308.15,0.0366,100,931.931,Marcinkowski et al. (2018),Density,Liquid,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
HzKTc,308.15,0.0514,100,933.846,Marcinkowski et al. (2018),Density,Liquid,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
HzKTc,308.15,0.0685,100,936.037,Marcinkowski et al. (2018),Density,Liquid,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
HzKTc,308.15,0.0838,100,937.956,Marcinkowski et al. (2018),Density,Liquid,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
HzKTc,308.15,0.1081,100,940.988,Marcinkowski et al. (2018),Density,Liquid,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
HzKTc,308.15,0.1302,100,943.694,Marcinkowski et al. (2018),Density,Liquid,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
HzKTc,308.15,0.1661,100,947.952,Marcinkowski et al. (2018),Density,Liquid,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
