setid,"Temperature, K","MolaRity of tetraphenylphosphonium chloride, mol/dm3","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
BIusL,308.65,0,101,994.03,Tripathi (2010),Density,Liquid,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water,,,
BIusL,308.65,0.005,101,994.05,Tripathi (2010),Density,Liquid,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water,,,
BIusL,308.65,0.01,101,995.67,Tripathi (2010),Density,Liquid,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water,,,
BIusL,308.65,0.02,101,998.12,Tripathi (2010),Density,Liquid,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water,,,
BIusL,308.65,0.05,101,996.84,Tripathi (2010),Density,Liquid,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water,,,
BIusL,308.65,0.1,101,1001.06,Tripathi (2010),Density,Liquid,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water,,,
BIusL,311.65,0,101,993.13,Tripathi (2010),Density,Liquid,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water,,,
BIusL,311.65,0.005,101,993.46,Tripathi (2010),Density,Liquid,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water,,,
BIusL,311.65,0.01,101,994.88,Tripathi (2010),Density,Liquid,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water,,,
BIusL,311.65,0.02,101,996.99,Tripathi (2010),Density,Liquid,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water,,,
BIusL,311.65,0.05,101,995.58,Tripathi (2010),Density,Liquid,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water,,,
BIusL,311.65,0.1,101,997.28,Tripathi (2010),Density,Liquid,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water,,,
BIusL,314.65,0,101,991.68,Tripathi (2010),Density,Liquid,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water,,,
BIusL,314.65,0.005,101,991.77,Tripathi (2010),Density,Liquid,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water,,,
BIusL,314.65,0.01,101,992.33,Tripathi (2010),Density,Liquid,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water,,,
BIusL,314.65,0.02,101,995.43,Tripathi (2010),Density,Liquid,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water,,,
BIusL,314.65,0.05,101,994.11,Tripathi (2010),Density,Liquid,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water,,,
BIusL,314.65,0.1,101,995.93,Tripathi (2010),Density,Liquid,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water,,,
