setid,"Temperature, K",Mole fraction of dimethylformamide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
pxtQd,293.15,0,100,1397.1,Massel et al. (2015),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
pxtQd,293.15,0.1268,100,1379.7,Massel et al. (2015),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
pxtQd,293.15,0.2011,100,1367.7,Massel et al. (2015),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
pxtQd,293.15,0.3028,100,1348.7,Massel et al. (2015),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
pxtQd,293.15,0.3824,100,1331.3,Massel et al. (2015),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
pxtQd,293.15,0.5078,100,1297.4,Massel et al. (2015),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
pxtQd,293.15,0.6249,100,1255.8,Massel et al. (2015),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
pxtQd,293.15,0.7548,100,1191.6,Massel et al. (2015),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
pxtQd,293.15,0.8764,100,1101.3,Massel et al. (2015),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
pxtQd,293.15,0.9157,100,1061.9,Massel et al. (2015),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
pxtQd,293.15,1,100,948.7,Massel et al. (2015),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
pxtQd,295.15,0,100,1395.3,Massel et al. (2015),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
pxtQd,295.15,0.1268,100,1377.9,Massel et al. (2015),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
pxtQd,295.15,0.2011,100,1365.9,Massel et al. (2015),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
pxtQd,295.15,0.3028,100,1346.9,Massel et al. (2015),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
pxtQd,295.15,0.3824,100,1329.5,Massel et al. (2015),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
pxtQd,295.15,0.5078,100,1295.6,Massel et al. (2015),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
pxtQd,295.15,0.6249,100,1253.9,Massel et al. (2015),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
pxtQd,295.15,0.7548,100,1189.7,Massel et al. (2015),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
pxtQd,295.15,0.8764,100,1099.4,Massel et al. (2015),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
pxtQd,295.15,0.9157,100,1060,Massel et al. (2015),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
pxtQd,295.15,1,100,946.8,Massel et al. (2015),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
pxtQd,298.15,0,100,1392.7,Massel et al. (2015),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
pxtQd,298.15,0.1268,100,1375.3,Massel et al. (2015),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
pxtQd,298.15,0.2011,100,1363.2,Massel et al. (2015),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
pxtQd,298.15,0.3028,100,1344.2,Massel et al. (2015),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
pxtQd,298.15,0.3824,100,1326.8,Massel et al. (2015),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
pxtQd,298.15,0.5078,100,1292.8,Massel et al. (2015),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
pxtQd,298.15,0.6249,100,1251.2,Massel et al. (2015),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
pxtQd,298.15,0.7548,100,1186.8,Massel et al. (2015),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
pxtQd,298.15,0.8764,100,1096.5,Massel et al. (2015),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
pxtQd,298.15,0.9157,100,1057.1,Massel et al. (2015),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
pxtQd,298.15,1,100,943.9,Massel et al. (2015),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
