setid,"Temperature, K","Pressure, kPa","MolaLity of carbon dioxide, mol/kg","Molar volume, m<SUP>3</SUP>/mol",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
bCVTR,298.15,71.7,0.049,0.0001529,Jalili et al. (2019),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
bCVTR,298.15,247.1,0.168,0.0001498,Jalili et al. (2019),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
bCVTR,298.15,499.7,0.34,0.0001457,Jalili et al. (2019),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
bCVTR,298.15,750.8,0.507,0.0001419,Jalili et al. (2019),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
bCVTR,298.15,1199.5,0.801,0.0001357,Jalili et al. (2019),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
bCVTR,298.15,1667.1,1.127,0.0001296,Jalili et al. (2019),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
bCVTR,298.15,1989.6,1.337,0.000126,Jalili et al. (2019),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
bCVTR,303.15,76.4,0.049,0.0001533,Jalili et al. (2019),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
bCVTR,303.15,152.1,0.098,0.0001521,Jalili et al. (2019),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
bCVTR,303.15,350.7,0.225,0.0001489,Jalili et al. (2019),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
bCVTR,303.15,720.1,0.463,0.0001433,Jalili et al. (2019),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
bCVTR,303.15,1019.6,0.635,0.0001395,Jalili et al. (2019),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
bCVTR,303.15,1401.4,0.878,0.0001346,Jalili et al. (2019),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
bCVTR,303.15,1601.8,1.002,0.0001323,Jalili et al. (2019),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
bCVTR,313.15,80.2,0.045,0.0001544,Jalili et al. (2019),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
bCVTR,313.15,274.8,0.154,0.0001516,Jalili et al. (2019),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
bCVTR,313.15,513.1,0.292,0.0001482,Jalili et al. (2019),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
bCVTR,313.15,731.9,0.412,0.0001453,Jalili et al. (2019),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
bCVTR,313.15,1064,0.589,0.0001414,Jalili et al. (2019),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
bCVTR,313.15,1390.8,0.779,0.0001374,Jalili et al. (2019),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
bCVTR,313.15,1675.3,0.943,0.0001342,Jalili et al. (2019),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
bCVTR,323.15,85.1,0.042,0.0001555,Jalili et al. (2019),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
bCVTR,323.15,290.5,0.144,0.0001528,Jalili et al. (2019),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
bCVTR,323.15,432.4,0.218,0.0001509,Jalili et al. (2019),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
bCVTR,323.15,744.9,0.373,0.0001472,Jalili et al. (2019),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
bCVTR,323.15,1137.1,0.568,0.0001428,Jalili et al. (2019),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
bCVTR,323.15,1532.9,0.781,0.0001383,Jalili et al. (2019),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
