setid,"Temperature, K","MolaRity of lithium hexafluorophosphate, mol/dm3","Pressure, kPa","Solvent: Mole fraction of 1,2-ethanediol","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
lpPqv,313,0.1035,87.1,0.25,1115.4,Moradi and Farzi (2022),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AAdLRX,F[P-](F)(F)(F)(F)F.[Li+],lithium hexafluorophosphate
lpPqv,313,0.1147,87.1,0.25,1116.3,Moradi and Farzi (2022),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AAdLRX,F[P-](F)(F)(F)(F)F.[Li+],lithium hexafluorophosphate
lpPqv,313,0.1613,87.1,0.25,1120.4,Moradi and Farzi (2022),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AAdLRX,F[P-](F)(F)(F)(F)F.[Li+],lithium hexafluorophosphate
lpPqv,313,0.2416,87.1,0.25,1127.6,Moradi and Farzi (2022),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AAdLRX,F[P-](F)(F)(F)(F)F.[Li+],lithium hexafluorophosphate
lpPqv,313,0.3746,87.1,0.25,1139.5,Moradi and Farzi (2022),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AAdLRX,F[P-](F)(F)(F)(F)F.[Li+],lithium hexafluorophosphate
lpPqv,318,0.0115,87.1,0.25,1104.1,Moradi and Farzi (2022),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AAdLRX,F[P-](F)(F)(F)(F)F.[Li+],lithium hexafluorophosphate
lpPqv,318,0.0302,87.1,0.25,1105.8,Moradi and Farzi (2022),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AAdLRX,F[P-](F)(F)(F)(F)F.[Li+],lithium hexafluorophosphate
lpPqv,318,0.051,87.1,0.25,1107.7,Moradi and Farzi (2022),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AAdLRX,F[P-](F)(F)(F)(F)F.[Li+],lithium hexafluorophosphate
lpPqv,318,0.1035,87.1,0.25,1112.4,Moradi and Farzi (2022),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AAdLRX,F[P-](F)(F)(F)(F)F.[Li+],lithium hexafluorophosphate
lpPqv,318,0.1147,87.1,0.25,1113.2,Moradi and Farzi (2022),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AAdLRX,F[P-](F)(F)(F)(F)F.[Li+],lithium hexafluorophosphate
lpPqv,318,0.1613,87.1,0.25,1117.2,Moradi and Farzi (2022),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AAdLRX,F[P-](F)(F)(F)(F)F.[Li+],lithium hexafluorophosphate
lpPqv,318,0.2416,87.1,0.25,1124.3,Moradi and Farzi (2022),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AAdLRX,F[P-](F)(F)(F)(F)F.[Li+],lithium hexafluorophosphate
lpPqv,318,0.3746,87.1,0.25,1135.1,Moradi and Farzi (2022),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AAdLRX,F[P-](F)(F)(F)(F)F.[Li+],lithium hexafluorophosphate
