setid,"MolaLity of 1-ethyl-3-methylimidazolium adeninide, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
rJHRS,0,94.4,298.15,997.05,Gavhane et al. (2022),Density,Liquid,AAvICm,N1=CN=C2N=C[N-]C2=C1N.C(C)N1C=[N+](C=C1)C,1-ethyl-3-methylimidazolium adeninide,AADYJk,O,water,,,
rJHRS,0.0319,94.4,298.15,998.69,Gavhane et al. (2022),Density,Liquid,AAvICm,N1=CN=C2N=C[N-]C2=C1N.C(C)N1C=[N+](C=C1)C,1-ethyl-3-methylimidazolium adeninide,AADYJk,O,water,,,
rJHRS,0.0663,94.4,298.15,1000.45,Gavhane et al. (2022),Density,Liquid,AAvICm,N1=CN=C2N=C[N-]C2=C1N.C(C)N1C=[N+](C=C1)C,1-ethyl-3-methylimidazolium adeninide,AADYJk,O,water,,,
rJHRS,0.0838,94.4,298.15,1001.34,Gavhane et al. (2022),Density,Liquid,AAvICm,N1=CN=C2N=C[N-]C2=C1N.C(C)N1C=[N+](C=C1)C,1-ethyl-3-methylimidazolium adeninide,AADYJk,O,water,,,
rJHRS,0.1681,94.4,298.15,1005.55,Gavhane et al. (2022),Density,Liquid,AAvICm,N1=CN=C2N=C[N-]C2=C1N.C(C)N1C=[N+](C=C1)C,1-ethyl-3-methylimidazolium adeninide,AADYJk,O,water,,,
rJHRS,0.2368,94.4,298.15,1008.94,Gavhane et al. (2022),Density,Liquid,AAvICm,N1=CN=C2N=C[N-]C2=C1N.C(C)N1C=[N+](C=C1)C,1-ethyl-3-methylimidazolium adeninide,AADYJk,O,water,,,
rJHRS,0.3129,94.4,298.15,1012.62,Gavhane et al. (2022),Density,Liquid,AAvICm,N1=CN=C2N=C[N-]C2=C1N.C(C)N1C=[N+](C=C1)C,1-ethyl-3-methylimidazolium adeninide,AADYJk,O,water,,,
rJHRS,0.4057,94.4,298.15,1017.01,Gavhane et al. (2022),Density,Liquid,AAvICm,N1=CN=C2N=C[N-]C2=C1N.C(C)N1C=[N+](C=C1)C,1-ethyl-3-methylimidazolium adeninide,AADYJk,O,water,,,
rJHRS,0.4976,94.4,298.15,1021.24,Gavhane et al. (2022),Density,Liquid,AAvICm,N1=CN=C2N=C[N-]C2=C1N.C(C)N1C=[N+](C=C1)C,1-ethyl-3-methylimidazolium adeninide,AADYJk,O,water,,,
rJHRS,0.5885,94.4,298.15,1025.24,Gavhane et al. (2022),Density,Liquid,AAvICm,N1=CN=C2N=C[N-]C2=C1N.C(C)N1C=[N+](C=C1)C,1-ethyl-3-methylimidazolium adeninide,AADYJk,O,water,,,
rJHRS,0.6838,94.4,298.15,1029.4,Gavhane et al. (2022),Density,Liquid,AAvICm,N1=CN=C2N=C[N-]C2=C1N.C(C)N1C=[N+](C=C1)C,1-ethyl-3-methylimidazolium adeninide,AADYJk,O,water,,,
rJHRS,0.7781,94.4,298.15,1033.44,Gavhane et al. (2022),Density,Liquid,AAvICm,N1=CN=C2N=C[N-]C2=C1N.C(C)N1C=[N+](C=C1)C,1-ethyl-3-methylimidazolium adeninide,AADYJk,O,water,,,
