setid,"MolaLity of 1-butyl-3-methylimidazolium thiocyanate, mol/kg","Solvent: MolaLity of lithium chloride, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
Svofn,0,0.4005,101,298.15,1042.9,Shekaari et al. (2019c),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAIHRm,[Cl-].[Li+],lithium chloride,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
Svofn,0,0.786,101,298.15,1054.3,Shekaari et al. (2019c),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAIHRm,[Cl-].[Li+],lithium chloride,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
Svofn,0,1.1728,101,298.15,1064.9,Shekaari et al. (2019c),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAIHRm,[Cl-].[Li+],lithium chloride,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
Svofn,0.0099,0.4005,101,298.15,1043.4,Shekaari et al. (2019c),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAIHRm,[Cl-].[Li+],lithium chloride,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
Svofn,0.0112,0.786,101,298.15,1054.8,Shekaari et al. (2019c),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAIHRm,[Cl-].[Li+],lithium chloride,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
Svofn,0.0128,1.1728,101,298.15,1065.4,Shekaari et al. (2019c),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAIHRm,[Cl-].[Li+],lithium chloride,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
Svofn,0.0243,0.786,101,298.15,1055.3,Shekaari et al. (2019c),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAIHRm,[Cl-].[Li+],lithium chloride,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
Svofn,0.0248,0.4005,101,298.15,1044,Shekaari et al. (2019c),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAIHRm,[Cl-].[Li+],lithium chloride,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
Svofn,0.0271,1.1728,101,298.15,1065.9,Shekaari et al. (2019c),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAIHRm,[Cl-].[Li+],lithium chloride,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
Svofn,0.0399,0.4005,101,298.15,1044.7,Shekaari et al. (2019c),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAIHRm,[Cl-].[Li+],lithium chloride,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
Svofn,0.0422,0.786,101,298.15,1056.1,Shekaari et al. (2019c),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAIHRm,[Cl-].[Li+],lithium chloride,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
Svofn,0.0447,1.1728,101,298.15,1066.6,Shekaari et al. (2019c),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAIHRm,[Cl-].[Li+],lithium chloride,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
Svofn,0.0574,0.4005,101,298.15,1045.5,Shekaari et al. (2019c),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAIHRm,[Cl-].[Li+],lithium chloride,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
Svofn,0.0619,1.1728,101,298.15,1067.2,Shekaari et al. (2019c),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAIHRm,[Cl-].[Li+],lithium chloride,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
