setid,"Temperature, K","Mole fraction of 2-hydroxy-N,N,N-trimethylethanaminium L-alaninate","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
MUXmM,293.15,0,100,804,Velho et al. (2024),Density,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AALcLI,CCCO,propan-1-ol,,,
MUXmM,293.15,0.0997,100,875.3,Velho et al. (2024),Density,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AALcLI,CCCO,propan-1-ol,,,
MUXmM,293.15,0.2007,100,929.6,Velho et al. (2024),Density,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AALcLI,CCCO,propan-1-ol,,,
MUXmM,293.15,0.2998,100,972.5,Velho et al. (2024),Density,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AALcLI,CCCO,propan-1-ol,,,
MUXmM,293.15,0.3915,100,1005.6,Velho et al. (2024),Density,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AALcLI,CCCO,propan-1-ol,,,
MUXmM,293.15,0.506,100,1039.3,Velho et al. (2024),Density,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AALcLI,CCCO,propan-1-ol,,,
MUXmM,293.15,0.6047,100,1062.1,Velho et al. (2024),Density,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AALcLI,CCCO,propan-1-ol,,,
MUXmM,293.15,0.6939,100,1080,Velho et al. (2024),Density,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AALcLI,CCCO,propan-1-ol,,,
MUXmM,293.15,0.7915,100,1097.8,Velho et al. (2024),Density,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AALcLI,CCCO,propan-1-ol,,,
MUXmM,293.15,0.9049,100,1114.8,Velho et al. (2024),Density,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AALcLI,CCCO,propan-1-ol,,,
