setid,"Temperature, K",Mole fraction of 1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
xKJqs,288.15,0,101,787.33,Wang et al. (2023b),Density,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
xKJqs,288.15,0.1001,101,956.01,Wang et al. (2023b),Density,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
xKJqs,288.15,0.2005,101,1070.6,Wang et al. (2023b),Density,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
xKJqs,288.15,0.3,101,1150.5,Wang et al. (2023b),Density,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
xKJqs,288.15,0.399,101,1208.91,Wang et al. (2023b),Density,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
xKJqs,288.15,0.4996,101,1253.75,Wang et al. (2023b),Density,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
xKJqs,288.15,0.598,101,1287.36,Wang et al. (2023b),Density,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
xKJqs,288.15,0.6975,101,1311.82,Wang et al. (2023b),Density,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
xKJqs,288.15,0.7983,101,1332.92,Wang et al. (2023b),Density,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
xKJqs,288.15,0.8987,101,1349.06,Wang et al. (2023b),Density,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
