setid,"Temperature, K","Pressure, kPa",Mole fraction of 1-butyl-3-methylimidazolium octyl sulfate,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
oBeHn,298.15,290,1,1067.24,Abdulagatov et al. (2009),Density,Liquid,AAGIBL,CO,methanol,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
oBeHn,298.15,320,0.2785,1007.47,Abdulagatov et al. (2009),Density,Liquid,AAGIBL,CO,methanol,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
oBeHn,298.15,320,0.9312,1065.12,Abdulagatov et al. (2009),Density,Liquid,AAGIBL,CO,methanol,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
oBeHn,298.15,340,0.4961,1040.32,Abdulagatov et al. (2009),Density,Liquid,AAGIBL,CO,methanol,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
oBeHn,298.15,450,0.7497,1057.86,Abdulagatov et al. (2009),Density,Liquid,AAGIBL,CO,methanol,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
oBeHn,298.15,580,0.1351,955.08,Abdulagatov et al. (2009),Density,Liquid,AAGIBL,CO,methanol,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
oBeHn,298.15,1190,0.0388,865.73,Abdulagatov et al. (2009),Density,Liquid,AAGIBL,CO,methanol,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
oBeHn,298.15,5020,0.9312,1067.51,Abdulagatov et al. (2009),Density,Liquid,AAGIBL,CO,methanol,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
oBeHn,298.15,5030,0.4961,1042.94,Abdulagatov et al. (2009),Density,Liquid,AAGIBL,CO,methanol,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
oBeHn,298.15,5040,0.2785,1010.37,Abdulagatov et al. (2009),Density,Liquid,AAGIBL,CO,methanol,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
oBeHn,298.15,5120,0.7497,1060.31,Abdulagatov et al. (2009),Density,Liquid,AAGIBL,CO,methanol,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
