setid,Mole fraction of carbon dioxide,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
cEeJz,0.2007,278.15,10000,1255,Carvalho et al. (2014),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
cEeJz,0.2007,278.15,20000,1258.7,Carvalho et al. (2014),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
cEeJz,0.2007,278.15,40000,1266.1,Carvalho et al. (2014),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
cEeJz,0.2007,278.15,60000,1273,Carvalho et al. (2014),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
cEeJz,0.2007,278.15,80000,1279.5,Carvalho et al. (2014),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
cEeJz,0.2007,278.15,100000,1285.8,Carvalho et al. (2014),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
cEeJz,0.2007,278.15,120000,1291.7,Carvalho et al. (2014),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
cEeJz,0.2007,298.15,10000,1241.3,Carvalho et al. (2014),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
cEeJz,0.2007,298.15,20000,1245.2,Carvalho et al. (2014),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
cEeJz,0.2007,298.15,40000,1252.9,Carvalho et al. (2014),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
cEeJz,0.2007,298.15,60000,1260.2,Carvalho et al. (2014),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
