setid,"Temperature, K","MolaLity of tetrapropylammonium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
GIGak,298.15,0.0379,84.5,998.087,Baghlani and Sadeghi (2018),Density,Liquid,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water,,,
GIGak,298.15,0.0572,84.5,998.615,Baghlani and Sadeghi (2018),Density,Liquid,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water,,,
GIGak,298.15,0.0766,84.5,999.143,Baghlani and Sadeghi (2018),Density,Liquid,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water,,,
GIGak,298.15,0.0962,84.5,999.679,Baghlani and Sadeghi (2018),Density,Liquid,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water,,,
GIGak,298.15,0.1159,84.5,1000.22,Baghlani and Sadeghi (2018),Density,Liquid,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water,,,
GIGak,298.15,0.1359,84.5,1000.76,Baghlani and Sadeghi (2018),Density,Liquid,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water,,,
GIGak,298.15,0.1566,84.5,1001.33,Baghlani and Sadeghi (2018),Density,Liquid,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water,,,
GIGak,298.15,0.1768,84.5,1001.88,Baghlani and Sadeghi (2018),Density,Liquid,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water,,,
GIGak,298.15,0.2396,84.5,1003.58,Baghlani and Sadeghi (2018),Density,Liquid,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water,,,
GIGak,298.15,0.2818,84.5,1004.73,Baghlani and Sadeghi (2018),Density,Liquid,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water,,,
GIGak,298.15,0.3277,84.5,1005.97,Baghlani and Sadeghi (2018),Density,Liquid,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water,,,
GIGak,298.15,0.3718,84.5,1007.15,Baghlani and Sadeghi (2018),Density,Liquid,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water,,,
