setid,"Temperature, K","Solvent: MolaLity of sodium dodecyl sulfate, mol/kg","MolaLity of heptan-1-ol, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
HZPcS,298.15,0.1,0.012,101,1000.69,Dubey (2011),Density,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
HZPcS,298.15,0.1,0.028,101,1000.32,Dubey (2011),Density,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
HZPcS,298.15,0.1,0.034,101,1000.19,Dubey (2011),Density,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
HZPcS,298.15,0.1,0.042,101,1000.01,Dubey (2011),Density,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
HZPcS,298.15,0.1,0.051,101,999.806,Dubey (2011),Density,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
HZPcS,298.15,0.1,0.062,101,999.545,Dubey (2011),Density,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
HZPcS,298.15,0.1,0.075,101,999.252,Dubey (2011),Density,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
HZPcS,303.15,0.1,0,101,999.555,Dubey (2011),Density,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
HZPcS,303.15,0.1,0.012,101,999.27,Dubey (2011),Density,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
HZPcS,303.15,0.1,0.028,101,998.898,Dubey (2011),Density,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
HZPcS,303.15,0.1,0.034,101,998.758,Dubey (2011),Density,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
HZPcS,303.15,0.1,0.042,101,998.573,Dubey (2011),Density,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
HZPcS,303.15,0.1,0.051,101,998.369,Dubey (2011),Density,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
HZPcS,303.15,0.1,0.062,101,998.102,Dubey (2011),Density,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
HZPcS,303.15,0.1,0.075,101,997.805,Dubey (2011),Density,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
HZPcS,308.15,0.1,0.012,101,997.445,Dubey (2011),Density,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
HZPcS,308.15,0.1,0.028,101,997.068,Dubey (2011),Density,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
HZPcS,308.15,0.1,0.034,101,996.926,Dubey (2011),Density,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
HZPcS,308.15,0.1,0.042,101,996.739,Dubey (2011),Density,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
HZPcS,308.15,0.1,0.051,101,996.532,Dubey (2011),Density,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
HZPcS,308.15,0.1,0.062,101,996.261,Dubey (2011),Density,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
HZPcS,308.15,0.1,0.075,101,995.959,Dubey (2011),Density,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
