setid,"Temperature, K",Mole fraction of 1-butyl-4-methylpyridinium tetrafluoroborate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
MgRRK,293.15,0.0477,101,876.71,Garcia-Mardones et al. (2012b),Density,Liquid,AAGIBL,CO,methanol,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,
MgRRK,293.15,0.0958,101,936.07,Garcia-Mardones et al. (2012b),Density,Liquid,AAGIBL,CO,methanol,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,
MgRRK,293.15,0.2055,101,1021.53,Garcia-Mardones et al. (2012b),Density,Liquid,AAGIBL,CO,methanol,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,
MgRRK,293.15,0.2889,101,1062.26,Garcia-Mardones et al. (2012b),Density,Liquid,AAGIBL,CO,methanol,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,
MgRRK,293.15,0.3846,101,1095.45,Garcia-Mardones et al. (2012b),Density,Liquid,AAGIBL,CO,methanol,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,
MgRRK,293.15,0.4866,101,1121.16,Garcia-Mardones et al. (2012b),Density,Liquid,AAGIBL,CO,methanol,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,
MgRRK,293.15,0.589,101,1140.6,Garcia-Mardones et al. (2012b),Density,Liquid,AAGIBL,CO,methanol,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,
MgRRK,293.15,0.7073,101,1157.8,Garcia-Mardones et al. (2012b),Density,Liquid,AAGIBL,CO,methanol,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,
MgRRK,293.15,0.7963,101,1168.12,Garcia-Mardones et al. (2012b),Density,Liquid,AAGIBL,CO,methanol,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,
MgRRK,293.15,0.8459,101,1173.12,Garcia-Mardones et al. (2012b),Density,Liquid,AAGIBL,CO,methanol,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,
MgRRK,293.15,0.8947,101,1177.58,Garcia-Mardones et al. (2012b),Density,Liquid,AAGIBL,CO,methanol,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,
MgRRK,293.15,0.9465,101,1181.89,Garcia-Mardones et al. (2012b),Density,Liquid,AAGIBL,CO,methanol,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,
MgRRK,303.15,0.0477,101,867.94,Garcia-Mardones et al. (2012b),Density,Liquid,AAGIBL,CO,methanol,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,
MgRRK,303.15,0.0958,101,927.56,Garcia-Mardones et al. (2012b),Density,Liquid,AAGIBL,CO,methanol,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,
MgRRK,303.15,0.2055,101,1013.48,Garcia-Mardones et al. (2012b),Density,Liquid,AAGIBL,CO,methanol,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,
MgRRK,303.15,0.2889,101,1054.51,Garcia-Mardones et al. (2012b),Density,Liquid,AAGIBL,CO,methanol,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,
MgRRK,303.15,0.3846,101,1087.98,Garcia-Mardones et al. (2012b),Density,Liquid,AAGIBL,CO,methanol,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,
MgRRK,303.15,0.4866,101,1113.92,Garcia-Mardones et al. (2012b),Density,Liquid,AAGIBL,CO,methanol,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,
MgRRK,303.15,0.589,101,1133.51,Garcia-Mardones et al. (2012b),Density,Liquid,AAGIBL,CO,methanol,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,
MgRRK,303.15,0.7073,101,1150.84,Garcia-Mardones et al. (2012b),Density,Liquid,AAGIBL,CO,methanol,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,
MgRRK,303.15,0.7963,101,1161.22,Garcia-Mardones et al. (2012b),Density,Liquid,AAGIBL,CO,methanol,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,
