setid,"Temperature, K","MolaLity of thiophene, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
BMGIQ,288.15,0,86.5,1231,Shekaari et al. (2016a),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
BMGIQ,288.15,0.0186,86.5,1230.4,Shekaari et al. (2016a),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
BMGIQ,288.15,0.0221,86.5,1230.3,Shekaari et al. (2016a),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
BMGIQ,288.15,0.0358,86.5,1229.8,Shekaari et al. (2016a),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
BMGIQ,288.15,0.0433,86.5,1229.6,Shekaari et al. (2016a),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
BMGIQ,288.15,0.0632,86.5,1229,Shekaari et al. (2016a),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
BMGIQ,288.15,0.0727,86.5,1228.7,Shekaari et al. (2016a),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
BMGIQ,288.15,0.0952,86.5,1228.1,Shekaari et al. (2016a),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
BMGIQ,288.15,0.1142,86.5,1227.7,Shekaari et al. (2016a),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
BMGIQ,288.15,0.137,86.5,1227.2,Shekaari et al. (2016a),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
BMGIQ,288.15,0.1603,86.5,1226.7,Shekaari et al. (2016a),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
BMGIQ,288.15,0.1869,86.5,1226.3,Shekaari et al. (2016a),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
BMGIQ,293.15,0,86.5,1227.4,Shekaari et al. (2016a),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
BMGIQ,293.15,0.0186,86.5,1226.8,Shekaari et al. (2016a),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
BMGIQ,293.15,0.0221,86.5,1226.6,Shekaari et al. (2016a),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
BMGIQ,293.15,0.0358,86.5,1226.2,Shekaari et al. (2016a),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
BMGIQ,293.15,0.0433,86.5,1226,Shekaari et al. (2016a),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
BMGIQ,293.15,0.0632,86.5,1225.4,Shekaari et al. (2016a),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
BMGIQ,293.15,0.0727,86.5,1225.1,Shekaari et al. (2016a),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
BMGIQ,293.15,0.0952,86.5,1224.5,Shekaari et al. (2016a),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
BMGIQ,293.15,0.1142,86.5,1224.1,Shekaari et al. (2016a),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
BMGIQ,293.15,0.137,86.5,1223.6,Shekaari et al. (2016a),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
BMGIQ,293.15,0.1603,86.5,1223.2,Shekaari et al. (2016a),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
BMGIQ,293.15,0.1869,86.5,1222.8,Shekaari et al. (2016a),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
BMGIQ,298.15,0,86.5,1223.7,Shekaari et al. (2016a),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
BMGIQ,298.15,0.0186,86.5,1223.1,Shekaari et al. (2016a),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
BMGIQ,298.15,0.0221,86.5,1223,Shekaari et al. (2016a),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
BMGIQ,298.15,0.0358,86.5,1222.5,Shekaari et al. (2016a),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
BMGIQ,298.15,0.0433,86.5,1222.3,Shekaari et al. (2016a),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
BMGIQ,298.15,0.0632,86.5,1221.6,Shekaari et al. (2016a),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
BMGIQ,298.15,0.0727,86.5,1221.4,Shekaari et al. (2016a),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
BMGIQ,298.15,0.0952,86.5,1220.8,Shekaari et al. (2016a),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
BMGIQ,298.15,0.1142,86.5,1220.3,Shekaari et al. (2016a),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
BMGIQ,298.15,0.137,86.5,1219.9,Shekaari et al. (2016a),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
BMGIQ,298.15,0.1603,86.5,1219.4,Shekaari et al. (2016a),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
BMGIQ,298.15,0.1869,86.5,1219,Shekaari et al. (2016a),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
BMGIQ,303.15,0,86.5,1220.3,Shekaari et al. (2016a),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
BMGIQ,303.15,0.0186,86.5,1219.7,Shekaari et al. (2016a),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
BMGIQ,303.15,0.0221,86.5,1219.5,Shekaari et al. (2016a),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
BMGIQ,303.15,0.0358,86.5,1219.1,Shekaari et al. (2016a),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
BMGIQ,303.15,0.0433,86.5,1218.8,Shekaari et al. (2016a),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
BMGIQ,303.15,0.0632,86.5,1218.3,Shekaari et al. (2016a),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
BMGIQ,303.15,0.0727,86.5,1218,Shekaari et al. (2016a),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
BMGIQ,303.15,0.0952,86.5,1217.4,Shekaari et al. (2016a),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
BMGIQ,303.15,0.1142,86.5,1217,Shekaari et al. (2016a),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
BMGIQ,303.15,0.137,86.5,1216.5,Shekaari et al. (2016a),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
BMGIQ,303.15,0.1603,86.5,1216.1,Shekaari et al. (2016a),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
BMGIQ,303.15,0.1869,86.5,1215.7,Shekaari et al. (2016a),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
