setid,"Temperature, K","MolaLity of sodium dodecyl sulfate, mol/kg","Pressure, kPa","Solvent: MolaLity of tetrapropylammonium acetate, mol/kg","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
sOToy,293.15,0.0001,100,0.01,998.654,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,293.15,0.0002,100,0.01,998.66,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,293.15,0.0003,100,0.01,998.666,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,293.15,0.0004,100,0.01,998.67,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,293.15,0.0005,100,0.01,998.673,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,293.15,0.0006,100,0.01,998.677,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,293.15,0.0007,100,0.01,998.681,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,293.15,0.0008,100,0.01,998.684,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,293.15,0.0009,100,0.01,998.689,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,293.15,0.001,100,0.01,998.693,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
