setid,"Temperature, K","MolaLity of 1-butyl-3-methylimidazolium chloride, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
glQtD,278.15,0.00518,101.3,1123.9,Toma et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
glQtD,278.15,0.00855,101.3,1123.8,Toma et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
glQtD,278.15,0.02032,101.3,1123.8,Toma et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
glQtD,278.15,0.02967,101.3,1123.7,Toma et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
glQtD,278.15,0.04025,101.3,1123.6,Toma et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
glQtD,278.15,0.05022,101.3,1123.6,Toma et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
glQtD,278.15,0.05592,101.3,1123.6,Toma et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
glQtD,278.15,0.0745,101.3,1123.5,Toma et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
glQtD,278.15,0.10202,101.3,1123.3,Toma et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
glQtD,283.15,0.00518,101.3,1120.4,Toma et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
glQtD,283.15,0.00855,101.3,1120.4,Toma et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
glQtD,283.15,0.02032,101.3,1120.3,Toma et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
glQtD,283.15,0.02967,101.3,1120.2,Toma et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
glQtD,283.15,0.04025,101.3,1120.2,Toma et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
glQtD,283.15,0.05022,101.3,1120.1,Toma et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
glQtD,283.15,0.05592,101.3,1120.1,Toma et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
glQtD,283.15,0.0745,101.3,1119.9,Toma et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
glQtD,283.15,0.10202,101.3,1119.8,Toma et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
glQtD,288.15,0.00518,101.3,1116.9,Toma et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
glQtD,288.15,0.00855,101.3,1116.9,Toma et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
glQtD,288.15,0.02032,101.3,1116.8,Toma et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
glQtD,288.15,0.02967,101.3,1116.7,Toma et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
glQtD,288.15,0.04025,101.3,1116.6,Toma et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
glQtD,288.15,0.05022,101.3,1116.6,Toma et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
glQtD,288.15,0.05592,101.3,1116.5,Toma et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
glQtD,288.15,0.0745,101.3,1116.4,Toma et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
glQtD,288.15,0.10202,101.3,1116.3,Toma et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
glQtD,293.15,0.00518,101.3,1113.4,Toma et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
glQtD,293.15,0.00855,101.3,1113.4,Toma et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
glQtD,293.15,0.02032,101.3,1113.3,Toma et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
glQtD,293.15,0.02967,101.3,1113.2,Toma et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
glQtD,293.15,0.04025,101.3,1113.1,Toma et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
glQtD,293.15,0.05022,101.3,1113,Toma et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
glQtD,293.15,0.05592,101.3,1113,Toma et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
glQtD,293.15,0.0745,101.3,1112.9,Toma et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
glQtD,293.15,0.10202,101.3,1112.7,Toma et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
glQtD,298.15,0.00518,101.3,1109.9,Toma et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
glQtD,298.15,0.00855,101.3,1109.8,Toma et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
glQtD,298.15,0.02032,101.3,1109.7,Toma et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
glQtD,298.15,0.02967,101.3,1109.7,Toma et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
glQtD,298.15,0.04025,101.3,1109.6,Toma et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
glQtD,298.15,0.05022,101.3,1109.5,Toma et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
glQtD,298.15,0.05592,101.3,1109.5,Toma et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
glQtD,298.15,0.0745,101.3,1109.3,Toma et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
glQtD,298.15,0.10202,101.3,1109.1,Toma et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
glQtD,303.15,0.00518,101.3,1106.3,Toma et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
glQtD,303.15,0.00855,101.3,1106.3,Toma et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
glQtD,303.15,0.02032,101.3,1106.2,Toma et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
glQtD,303.15,0.02967,101.3,1106.1,Toma et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
